Title,Authors,Publication Year,DOI
Accelerating phase I clinical trials: Using CDISC operational data model study specifications and high-speed translators to auto-generate fully featured electronic data capture systems,Barrie P.; Wheeldon M.,2004,
,S. A. Wang; Yang Fann; Huey Cheung; F. Pecjak; B. Upender; A. Frazin; R. Lingam; S. Chintala; G. Wang; M. Kellog; R. L. Martino; C. A. Johnson,2004,10.1109/CBMS.2004.1311780
Generating user interfaces from CDISC ODM for mobile devices,De Melo G.M.; Nagler-Ihlein J.; Weber M.,2006,10.1109/ICMB.2006.19
Toward a comprehensive CDISC submission data standard,Kubick W.R.; Ruberg S.; Helton E.,2007,10.1177/009286150704100311
The REUSE project: EHR as single datasource for biomedical research,El Fadly A.; Lucas N.; Rance B.; Verplancke P.; Lastic P.-Y.; Daniel C.,2010,10.3233/978-1-60750-588-4-1324
A metadata-based patient register for cooperative clinical research: A case study in acute myeloid leukemia,Fischer A.S.; Mansmann U.,2011,10.3233/978-1-60750-806-9-857
Unlocking data for clinical research - The German i2b2 experience,Ganslandt T.; Mate S.; Helbing K.; Sax U.; Prokosch H.U.,2011,10.4338/ACI-2010-09-CR-0051
Web-based case report form design for clinical trial,Fu L.; Chen T.,2011,10.4028/www.scientific.net/AMM.39.19
The single source architecture x4T to connect medical documentation and clinical research,Dziuballe P.; Forster C.; Breil B.; Thiemann V.; Fritz F.; Lechtenbörger J.; Vossen G.; Dugas M.,2011,10.3233/978-1-60750-806-9-902
Interoperability in clinical research: From metadata registries to semantically annotated CDISC ODM,Bruland P.; Breil B.; Fritz F.; Dugas M.,2012,10.3233/978-1-61499-101-4-564
Multilingual medical data models in ODM format: A novel form-based approach to semantic interoperability between routine healthcare and clinical research,Breil B.; Kenneweg J.; Fritz F.; Bruland P.; Doods D.; Trinczek B.; Dugas M.,2012,10.4338/ACI-2012-03-RA-0011
Semantic enrichment of medical forms - Semi-automated coding of ODM-elements via web services,Breil B.; Watermann A.; Haas P.; Dziuballe P.; Dugas M.,2012,10.3233/978-1-61499-101-4-1102
Analyses of medical data models-identifying common concepts and items in a repository of medical forms,Breil B.; Dugas M.,2013,10.3233/978-1-61499-289-9-1052
Legal Medicine Information System using CDISC ODM,Kiuchi T.; Yoshida K.-I.; Kotani H.; Tamaki K.; Nagai H.; Harada K.; Ishikawa H.,2013,10.1016/j.legalmed.2013.08.003
The ISO/IEC 11179 norm for metadata registries: does it cover healthcare standards in empirical research?,"Ngouongo SM, Löbe M, Stausberg J.",2013,10.1016/j.jbi.2012.11.008
Interconnection of Electronic Medical Record with Clinical Data Management System by CDISC ODM,Matsumura Y.; Hattori A.; Manabe S.; Takeda T.; Takahashi D.; Yamamoto Y.; Murata T.; Mihara N.,2014,10.3233/978-1-61499-432-9-868
A Comprehensive Clinical Research Database based on CDISC ODM and i2b2,Meineke F.A.; Staübert S.; Löbe M.; Winter A.,2014,10.3233/978-1-61499-432-9-1115
The need for harmonized structured documentation and chances of secondary use - results of a systematic analysis with automated form comparison for prostate and breast cancer,"Krumm R, Semjonow A, Tio J, Duhme H, Bürkle T, Haier J, Dugas M, Breil B.",2014,10.1016/j.jbi.2014.04.008
Transformations between CDISC ODM and openEHR Archetypes,Bruland P.; Dugas M.,2014,10.3233/978-1-61499-432-9-1225
Cohortexplorer: A generic application programming interface for entity attribute value database schemas,Dixit A.; Dobson R.J.B.,2014,10.2196/medinform.3339
Standardizing data exchange for clinical research protocols and case report forms: An assessment of the suitability of the Clinical Data Interchange Standards Consortium (CDISC) Operational Data Model (ODM),Huser V.; Sastry C.; Breymaier M.; Idriss A.; Cimino J.J.,2015,10.1016/j.jbi.2015.06.023
"Connecting clinical care and research: Single-source with x4T - Process design, architecture, and use cases",Forster C.; Bruland P.; Lechtenbörger J.; Breil B.; Vossen G.,2015,10.1515/itit-2014-1041
Translational Medicine and Patient Safety in Europe: TRANSFoRm - Architecture for the Learning Health System in Europe,Delaney B.C.; Curcin V.; Andreasson A.; Arvanitis T.N.; Bastiaens H.; Corrigan D.; Ethier J.-F.; Kostopoulou O.; Kuchinke W.; McGilchrist M.; Royen P.V.; Wagner P.,2015,10.1155/2015/961526
