Title,Authors,Publication Year,DOI
Integrating x4T-EDC into an Image-Portal to Establish an Ophthalmic Reading Center,Bruland P.; Kathöfer U.; Treder M.; Eter N.; Dugas M.,2017,10.3233/978-1-61499-830-3-1254
A metadata-based patient register for cooperative clinical research: A case study in acute myeloid leukemia,Fischer A.S.; Mansmann U.,2011,10.3233/978-1-60750-806-9-857
Accelerating phase I clinical trials: Using CDISC operational data model study specifications and high-speed translators to auto-generate fully featured electronic data capture systems,Barrie P.; Wheeldon M.,2004,
Automatic conversion of metadata from the study of health in pomerania to ODM,Hegselmann S.; Gessner S.; Neuhaus P.; Henke J.; Schmidt C.O.; Dugas M.,2017,10.3233/978-1-61499-759-7-88
Cohortexplorer: A generic application programming interface for entity attribute value database schemas,Dixit A.; Dobson R.J.B.,2014,10.2196/medinform.3339
Automated transformation of CDISC ODM to OpenClinica,Gessner S.; Storck M.; Hegselmann S.; Dugas M.; Soto-Rey I.,2017,10.3233/978-1-61499-808-2-95
Convert-Pheno: A software toolkit for the interconversion of standard data models for phenotypic data,Rueda M.; Leist I.C.; Gut I.G.,2024,10.1016/j.jbi.2023.104558
Interconnection of Electronic Medical Record with Clinical Data Management System by CDISC ODM,Matsumura Y.; Hattori A.; Manabe S.; Takeda T.; Takahashi D.; Yamamoto Y.; Murata T.; Mihara N.,2014,10.3233/978-1-61499-432-9-868
Analysis of annotated data models for improving data quality,Ulrich H.; Kock-Schoppenhauer A.-K.; Andersen B.; Ingenerf J.,2017,10.3233/978-1-61499-808-2-190
Toward a comprehensive CDISC submission data standard,Kubick W.R.; Ruberg S.; Helton E.,2007,10.1177/009286150704100311
CDISC set the standard,Aerts J.,2005,
Possible applications of CDISC ODM in clinical research; [Einsatzmöglichkeiten von CDISC ODM in der klinischen Forschung],Löbe M.; Aßmann C.; Beyer R.; Gaebel J.; Kiunke S.; Lensing E.; Nentwig M.; Petzold C.; Siegert A.; Sommerweiß R.; Voitel L.,2012,
The single source architecture x4T to connect medical documentation and clinical research,Dziuballe P.; Forster C.; Breil B.; Thiemann V.; Fritz F.; Lechtenbörger J.; Vossen G.; Dugas M.,2011,10.3233/978-1-60750-806-9-902
Implementation of an ODM and HL7 compliant electronic patient-reported outcome system,Soto-Rey I.; Dugas M.; Storck M.,2017,10.3233/978-1-61499-678-1-421
Converting ODM metadata to FHIR questionnaire resources,Doods J.; Neuhaus P.; Dugas M.,2017,10.3233/978-1-61499-678-1-456
Introductory evidence on data management and practice systems of forensic autopsies in sudden and unnatural deaths: a scoping review,Prahladh S.; van Wyk J.,2022,10.1186/s41935-022-00293-3
Compatibility between metadata standards: Import pipeline of CDISC ODM to the samply.MDR,Kock-Schoppenhauer A.-K.; Ulrich H.; Wagen-Zink S.; Duhm-Harbeck P.; Ingenerf J.; Neuhaus P.; Dugas M.; Bruland P.,2018,10.3233/978-1-61499-852-5-221
Clinical Research Informatics Contributions from 2015,Daniel C.; Choquet R.,2016,10.15265/iy-2016-044
Electronic Healthcare Record and clinical research in cardiovascular radiology. HL7 CDA and CDISC ODM interoperability.,El Fadly A.; Daniel C.; Bousquet C.; Dart T.; Lastic P.Y.; Degoulet P.,2007,
Generating user interfaces from CDISC ODM for mobile devices,De Melo G.M.; Nagler-Ihlein J.; Weber M.,2006,10.1109/ICMB.2006.19
Standardizing data exchange for clinical research protocols and case report forms: An assessment of the suitability of the Clinical Data Interchange Standards Consortium (CDISC) Operational Data Model (ODM),Huser V.; Sastry C.; Breymaier M.; Idriss A.; Cimino J.J.,2015,10.1016/j.jbi.2015.06.023
Performance of using oracle XMLDB in the evaluation of CDISC ODM for a clinical study informatics system,Wang S.A.; Fann Y.; Cheung H.; Pecjak F.; Upender B.; Frazin A.; Lingam R.; Chintala S.; Wang G.; Kellogg M.; Martino R.L.; Johnson C.A.,2004,
Transformations between CDISC ODM and openEHR Archetypes,Bruland P.; Dugas M.,2014,10.3233/978-1-61499-432-9-1225
Facilitating Study and item level browsing for clinical and epidemiological COVID-19 studies,Schmidt C.O.; Darms J.; Shutsko A.; Löbe M.; Nagrani R.; Seifert B.; Lindstädt B.; Golebiewski M.; Koleva S.; Bender T.; Bauer C.R.; Sax U.; Hu X.; Lieser M.; Junker V.; Klopfenstein S.; Zeleke A.; Waltemath D.; Pigeot I.; Fluck J.,2021,10.3233/SHTI210284
Design of case report forms based on a public metadata registry: Re-use of data elements to improve compatibility of data,Dugas M.,2016,10.1186/s13063-016-1691-8
Analyses of medical data models-identifying common concepts and items in a repository of medical forms,Breil B.; Dugas M.,2013,10.3233/978-1-61499-289-9-1052
Semantic enrichment of medical forms - Semi-automated coding of ODM-elements via web services,Breil B.; Watermann A.; Haas P.; Dziuballe P.; Dugas M.,2012,10.3233/978-1-61499-101-4-1102
Standardized Data Sharing in a Paediatric Oncology Research Network - A Proof-of-Concept Study,Hochedlinger N.; Nitzlnader M.; Falgenhauer M.; Welte S.; Hayn D.; Koumakis L.; Potamias G.; Tsiknakis M.; Saraceno D.; Rinaldi E.; Ladenstein R.; Schreier G.,2015,10.3233/978-1-61499-524-1-27
Legal Medicine Information System using CDISC ODM,Kiuchi T.; Yoshida K.-I.; Kotani H.; Tamaki K.; Nagai H.; Harada K.; Ishikawa H.,2013,10.1016/j.legalmed.2013.08.003
One Step Away from Technology but One Step towards Domain Experts-MDRBridge: A Template-Based ISO 11179-Compliant Metadata Processing Pipeline,Kock-Schoppenhauer A.-K.; Kroll B.; Lambarki M.; Ulrich H.; Stahl-Toyota S.; Habermann J.K.; Duhm-Harbeck P.; Ingenerf J.; Lablans M.,2019,10.1055/s-0039-3399579
Assessment of the Consistency of Categorical Features Within the DZHK Biobanking Basic Set,Yusuf K.; Tahar K.; Sax U.; Hoffmann W.; Krefting D.,2022,10.3233/SHTI220809
eSource for clinical trials: Implementation and evaluation of a standards-based approach in a real world trial,Ethier J.-F.; Curcin V.; McGilchrist M.M.; Choi Keung S.N.L.; Zhao L.; Andreasson A.; Bródka P.; Michalski R.; Arvanitis T.N.; Mastellos N.; Burgun A.; Delaney B.C.,2017,10.1016/j.ijmedinf.2017.06.006
Using CDISC ODM and the RDF Data Cube for the semantic enrichment of longitudinal clinical trial data,Leroux H.; Lefort L.,2012,
"Conceptual Design, Implementation, and Evaluation of Generic and Standard-Compliant Data Transfer into Electronic Health Records","Blitz R., Md; Dugas M.",2020,10.1055/s-0040-1710023
Towards a single data exchange standard for use in healthcare and in clinical research,Aerts J.,2018,10.3233/978-1-61499-858-7-55
