PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26944737","Current applications and future directions for the CDISC Operational Data Model standard: A methodological review","Hume S, Aerts J, Sarnikar S, Huser V.","J Biomed Inform. 2016 Apr;60:352-62. doi: 10.1016/j.jbi.2016.02.016. Epub 2016 Mar 2.","Hume S","J Biomed Inform","2016","2016/03/06","PMC4837012","NIHMS765126","10.1016/j.jbi.2016.02.016"
"35673167","ODM-DQA-Reporter: A Generic Approach to Assess and Monitor Basic Data Quality of Medical Research Data in Operational Data Model (ODM) Format","Süer A, Riepenhausen S, Storck M, Greulich L, Zeidler C, Ständer S, Dugas M.","Stud Health Technol Inform. 2022 Jun 6;290:983-984. doi: 10.3233/SHTI220229.","Süer A","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220229"
"26188274","Standardizing data exchange for clinical research protocols and case report forms: An assessment of the suitability of the Clinical Data Interchange Standards Consortium (CDISC) Operational Data Model (ODM)","Huser V, Sastry C, Breymaier M, Idriss A, Cimino JJ.","J Biomed Inform. 2015 Oct;57:88-99. doi: 10.1016/j.jbi.2015.06.023. Epub 2015 Jul 15.","Huser V","J Biomed Inform","2015","2015/07/19","PMC4714951","NIHMS709929","10.1016/j.jbi.2015.06.023"
"34042873","ODM Clinical Data Generator: Syntactically Correct Clinical Data Based on Metadata Definition","Brix TJ, Becker L, Harbich T, Oehm J, Fechner M, Dugas M, Storck M.","Stud Health Technol Inform. 2021 May 24;278:35-40. doi: 10.3233/SHTI210048.","Brix TJ","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210048"
"28883178","Automated Transformation of CDISC ODM to OpenClinica","Gessner S, Storck M, Hegselmann S, Dugas M, Soto-Rey I.","Stud Health Technol Inform. 2017;243:95-99.","Gessner S","Stud Health Technol Inform","2017","2017/09/09","","",""
"38153801","A Pragmatic Method to Integrate Data From Preexisting Cohort Studies Using the Clinical Data Interchange Standards Consortium (CDISC) Study Data Tabulation Model: Case Study","Matsuzaki K, Kitayama M, Yamamoto K, Aida R, Imai T, Ishida M, Katafuchi R, Kawamura T, Yokoo T, Narita I, Suzuki Y.","JMIR Med Inform. 2023 Dec 21;11:e46725. doi: 10.2196/46725.","Matsuzaki K","JMIR Med Inform","2023","2023/12/28","PMC10766166","","10.2196/46725"
"27577424","Converting ODM Metadata to FHIR Questionnaire Resources","Doods J, Neuhaus P, Dugas M.","Stud Health Technol Inform. 2016;228:456-60.","Doods J","Stud Health Technol Inform","2016","2016/09/01","","",""
"29677957","Standardising the Development of ODM Converters: The ODMToolBox","Soto-Rey I, Neuhaus P, Bruland P, Geßner S, Varghese J, Hegselmann S, Brix T, Dugas M, Storck M.","Stud Health Technol Inform. 2018;247:231-235.","Soto-Rey I","Stud Health Technol Inform","2018","2018/04/22","","",""
"29942639","Comparison and transformation between CDISC ODM and EN13606 EHR standards in connecting EHR data with clinical trial research data","Tapuria A, Bruland P, Delaney B, Kalra D, Curcin V.","Digit Health. 2018 May 17;4:2055207618777676. doi: 10.1177/2055207618777676. eCollection 2018 Jan-Dec.","Tapuria A","Digit Health","2018","2018/06/27","PMC6016569","","10.1177/2055207618777676"
"25160311","Interconnection of electronic medical record with clinical data management system by CDISC ODM","Matsumura Y, Hattori A, Manabe S, Takeda T, Takahashi D, Yamamoto Y, Murata T, Mihara N.","Stud Health Technol Inform. 2014;205:868-72.","Matsumura Y","Stud Health Technol Inform","2014","2014/08/28","","",""
"36623781","Federated electronic data capture (fEDC): Architecture and prototype","Ganzinger M, Blumenstock M, Fürstberger A, Greulich L, Kestler HA, Marschollek M, Niklas C, Schneider T, Spreckelsen C, Tute E, Varghese J, Dugas M.","J Biomed Inform. 2023 Feb;138:104280. doi: 10.1016/j.jbi.2023.104280. Epub 2023 Jan 7.","Ganzinger M","J Biomed Inform","2023","2023/01/09","","","10.1016/j.jbi.2023.104280"
"30463544","Variant information systems for precision oncology","Starlinger J, Pallarz S, Ševa J, Rieke D, Sers C, Keilholz U, Leser U.","BMC Med Inform Decis Mak. 2018 Nov 21;18(1):107. doi: 10.1186/s12911-018-0665-z.","Starlinger J","BMC Med Inform Decis Mak","2018","2018/11/23","PMC6249891","","10.1186/s12911-018-0665-z"
"29295087","Operational Data Model Conversion to ResearchKit","Soto-Rey I, Geßner S, Dugas M.","Stud Health Technol Inform. 2017;245:225-229.","Soto-Rey I","Stud Health Technol Inform","2017","2018/01/04","","",""
"29933373","ODM Data Analysis-A tool for the automatic validation, monitoring and generation of generic descriptive statistics of patient data","Brix TJ, Bruland P, Sarfraz S, Ernsting J, Neuhaus P, Storck M, Doods J, Ständer S, Dugas M.","PLoS One. 2018 Jun 22;13(6):e0199242. doi: 10.1371/journal.pone.0199242. eCollection 2018.","Brix TJ","PLoS One","2018","2018/06/23","PMC6014674","","10.1371/journal.pone.0199242"
"35673030","Hypergraph Based Data Model for Complex Health Data Exploration and Its Implementation in PREDIMED Clinical Data Warehouse","Cancé C, Lenne C, Artemova S, Mossuz P, Moreau-Gaudry A; PREDIMED Group.","Stud Health Technol Inform. 2022 Jun 6;290:335-339. doi: 10.3233/SHTI220091.","Cancé C","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220091"
"22874254","Interoperability in clinical research: from metadata registries to semantically annotated CDISC ODM","Bruland P, Breil B, Fritz F, Dugas M.","Stud Health Technol Inform. 2012;180:564-8.","Bruland P","Stud Health Technol Inform","2012","2012/08/10","","",""
"24060460","Legal Medicine Information System using CDISC ODM","Kiuchi T, Yoshida K, Kotani H, Tamaki K, Nagai H, Harada K, Ishikawa H.","Leg Med (Tokyo). 2013 Nov;15(6):332-4. doi: 10.1016/j.legalmed.2013.08.003. Epub 2013 Aug 31.","Kiuchi T","Leg Med (Tokyo)","2013","2013/09/25","","","10.1016/j.legalmed.2013.08.003"
"25160362","A comprehensive clinical research database based on CDISC ODM and i2b2","Meineke FA, Stäubert S, Löbe M, Winter A.","Stud Health Technol Inform. 2014;205:1115-9.","Meineke FA","Stud Health Technol Inform","2014","2014/08/28","","",""
"18693829","Electronic Healthcare Record and clinical research in cardiovascular radiology. HL7 CDA and CDISC ODM interoperability","El Fadly A, Daniel C, Bousquet C, Dart T, Lastic PY, Degoulet P.","AMIA Annu Symp Proc. 2007 Oct 11;2007:216-20.","El Fadly A","AMIA Annu Symp Proc","2007","2008/08/13","PMC2655824","",""
"28927443","Towards achieving semantic interoperability of clinical study data with FHIR","Leroux H, Metke-Jimenez A, Lawley MJ.","J Biomed Semantics. 2017 Sep 19;8(1):41. doi: 10.1186/s13326-017-0148-7.","Leroux H","J Biomed Semantics","2017","2017/09/21","PMC5606031","","10.1186/s13326-017-0148-7"
"28883198","Analysis of Annotated Data Models for Improving Data Quality","Ulrich H, Kock-Schoppenhauer AK, Andersen B, Ingenerf J.","Stud Health Technol Inform. 2017;243:190-194.","Ulrich H","Stud Health Technol Inform","2017","2017/09/09","","",""
