Authors,Publication Year,DOI
I. F. Hidayat; B. R. Hermanto,2020,10.1109/ICT49546.2020.9239534
M. L. Braunstein,2019,10.1109/MPULS.2019.2922575
M. L. Braunstein,2019,10.1109/MPULS.2019.2911804
Y. K. Rivera Sánchez; S. A. Demurjian; M. S. Baihan,2017,10.1109/MobileCloud.2017.22
F. S. Shoumik; M. I. M. M. Talukder; A. I. Jami; N. W. Protik; M. M. Hoque,2017,10.1109/ICCITECHN.2017.8281846
B. L. Marteau; Y. Zhu; F. Giuste; W. Shi; A. Carpenter; C. Hilton; M. D. Wang,2022,10.1109/EMBC48229.2022.9871865
N. Hong; K. Wang; L. Yao; G. Jiang,2017,10.1109/ICHI.2017.54
M. L. Braunstein,2019,10.1109/MPULS.2019.2899706
T. Pope; A. Patooghy; A. Sarrafzadeh,2023,10.1109/MWSCAS57524.2023.10406028
C. R. Pereira; A. P. Sousa; F. P. Itturriet; J. C. Machado; A. L. Del Mestre Martins,2023,10.1109/CBMS58004.2023.00339
N. Beredimas; V. Kilintzis; I. Chouvarda; N. Maglaveras,2015,10.1109/EMBC.2015.7318911
M. Mercorella; M. Ciampi; M. Esposito; A. Esposito; G. De Pietro,2016,10.1109/SITIS.2016.99
V. Kilintzis; A. Kosvyra; N. Beredimas; P. Natsiavas; N. Maglaveras; I. Chouvarda,2019,10.1109/EMBC.2019.8856415
M. L. Braunstein,2019,10.1109/MPULS.2018.2885831
N. Vasileiou; O. Giannakopoulou; O. Manta; K. Bromis; T. P. Vagenas; I. Kouris; M. Haritou; G. Matsopoulos; D. Koutsouris; M. Roumpi; Y. Goletsis; D. Fotiadis,2024,10.1109/ICE/ITMC61926.2024.10794286
D. Bender; K. Sartipi,2013,10.1109/CBMS.2013.6627810
A. Kiourtis; A. Mavrogiorgou; D. Kyriazis,2018,10.1109/HealthCom.2018.8531149
U. Pervez; O. Hasan; K. Latif; S. Tahar; A. Gawanmeh; M. S. Hamdi,2014,10.1109/HealthCom.2014.7001811
R. A. Hoffman; H. Wu; J. Venugopalan; P. Braun; M. D. Wang,2018,10.1109/JBHI.2017.2780891
R. Setyawan; A. N. Hidayanto; D. I. Sensuse; Kautsarina; R. R. Suryono; K. Abilowo,2021,10.1109/ICICoS53627.2021.9651762
B. Andersen; M. Kasparick; H. Ulrich; S. Schlichting; F. Golatowski; D. Timmermann; J. Ingenerf,2016,10.1109/CSCN.2016.7785165
R. A. Hoffman; H. Wu; J. Venugopalan; P. Braun; M. D. Wang,2017,10.1109/BHI.2017.7897235
E. B. Sloane; T. Cooper; R. Silva,2021,10.1109/SoutheastCon45413.2021.9401934
Z. R. Jánki; Z. Szabó; V. Bilicki; M. Fidrich,2017,10.1109/NC.2017.8263266
V. J. Major; W. Wang; Y. Aphinyanaphongs,2023,10.1109/ICHI57859.2023.00095
F. F. Walter Viktor Walter-Tscharf,2022,10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00340
E. Raso; P. Loreti; M. Ravaziol; L. Bracciale,2024,10.1109/ACCESS.2024.3381034
B. Zenobia,2022,10.23919/PICMET53225.2022.9882646
J. Ruminski; A. Bujnowski; T. Kocejko; A. Andrushevich; M. Biallas; R. Kistler,2016,10.1109/HSI.2016.7529684
A. Benhamida; A. Kanas; M. Vincze; K. T. Papp; M. Abbassi; M. Kozlovszky,2020,10.1109/CINTI51262.2020.9305828
M. P. Luz; J. Rocha de Matos Nogueira; L. T. Cavalini; T. W. Cook,2015,10.1109/ICHI.2015.74
W. Shi; F. O. Giuste; Y. Zhu; A. M. Carpenter; H. J. Iwinski; C. Hilton; J. M. Wattenbarger; M. D. Wang,2021,10.1109/BIBM52615.2021.9669649
J. -P. Stoldt; J. H. Weber,2020,10.1109/ICSA-C50368.2020.00041
J. Wang; W. C. Mathews; H. A. Pham; H. Xu; Y. Zhang,2020,10.1109/BIBM49941.2020.9313258
M. L. Braunstein,2015,10.1109/CTS.2015.7210457
O. Stan; L. Miclea,2018,10.1109/AQTR.2018.8402719
R. Sfat; I. Marin; N. Goga; R. Popa; I. C. Darla; C. V. Marian,2021,10.1109/BlackSeaCom52164.2021.9527847
P. Zampognaro; G. Paragliola; V. Falanga,2021,10.1109/ISCC53001.2021.9631446
M. S. Baihan,2022,10.1109/HealthCom54947.2022.9982782
G. C. Lamprinakos; A. S. Mousas; A. P. Kapsalis; D. I. Kaklamani; I. S. Venieris; A. D. Boufis; P. D. Karmiris; S. G. Mantzouratos,2014,10.4108/Mobihealth33544.2014.7015927
S. Mohammed; J. Fiaidhi; D. Sawyer,2023,10.1109/IRASET57153.2023.10153018
S. Patil; A. S. Z. A. Belloum,2024,10.1109/e-Science62913.2024.10678734
F. B. García; J. G. Cabada; J. G. Díaz; S. Guinez-Molinos; J. L. Sierra Rodríguez,2023,10.1109/CBMS58004.2023.00250
V. Šafran; S. Horvat; B. Ilijevec; I. R. Roj; V. Flis; I. Mlakar,2024,10.1109/MCSI63438.2024.00031
Y. Aliakbarpoor; S. Comai; G. Pozzi,2017,10.1109/RTSI.2017.8065881
M. Li; L. Xia; O. Seneviratne,2019,10.1109/DAPPCON.2019.00029
S. Ismail; M. Alshmari; U. Qamar; W. H. Butt; K. Latif; H. F. Ahmad,2016,10.1109/BIBE.2016.9
W. Li; J. Park,2017,10.1109/INFOC.2017.8001674
F. Gomes; R. Freitas; M. Ribeiro; C. Moura; O. Andrade; M. Oliveira,2019,10.1109/HealthCom46333.2019.9009602
Y. Petrakis; A. Kouroubali; D. Katehakis,2019,10.1109/BIBE.2019.00057
Y. S. Bae; Y. Park; S. M. Lee; H. H. Seo; H. Lee; T. Ko; E. Lee; S. M. Park; H. -J. Yoon,2022,10.1109/ACCESS.2022.3194159
J. Hwa Jung; D. Kyu Choi; J. In Kim; S. Joo Koh,2019,10.1109/ICOIN.2019.8718156
J. Nan; L. -Q. Xu; Q. Wang; C. Bu; J. Ma; F. Qiao,2021,10.1109/ICDH52753.2021.00048
H. Kondylakis; Y. Petrakis; S. Leivadaros; G. Iatraki; D. Katehakis,2019,10.1109/CBMS.2019.00058
V. Borisov; A. Minin; V. Basko; A. Syskov,2018,10.1109/TELFOR.2018.8611918
J. -P. Stoldt; J. H. Weber,2021,10.1109/SEH52539.2021.00012
J. Yu; S. -H. Kwon; S. Park; J. -A. Jun; C. -S. Pyo,2021,10.1109/PlatCon53246.2021.9680756
D. Kastowo; E. Utami; A. Hendi Muhammad,2022,10.1109/ICOIACT55506.2022.9972042
Z. Milosevic; A. Bond,2016,10.1109/EDOCW.2016.7584387
J. Lee; S. Jang; E. Park,2023,10.1109/ICUFN57995.2023.10199866
R. Sfat; C. V. Marian,2022,10.1109/EHB55594.2022.9991574
K. J. Won; A. R. Lee; E. Lee; I. K. Kim,2019,10.1109/BIBM47256.2019.8983284
J. Lee; J. Kim,2024,10.1109/ICUFN61752.2024.10624850
C. De Maio; G. Fenza; D. Furno; T. Grauso; V. Loia,2024,10.23919/SoftCOM62040.2024.10721684
C. Leksrisawat; T. Samanchuen,2021,10.1109/ICCSS51193.2021.9464189
G. Lanzola; F. Polce; V. Tibollo; S. Quaglini; S. Wilk,2022,10.1109/MELECON53508.2022.9843001
C. -N. Yang; P. Li; H. -H. Cheng; H. -C. Kuo; M. -C. Lu; L. Xiong,2024,10.1109/JIOT.2023.3328989
T. K. H. Le; W. Kongsiriwattana; C. Nimyungdee; R. Kaewsaeng-On; A. Meny; K. Namee,2024,10.1109/ICNGN63705.2024.10871916
B. Gokul,2022,10.1109/ICERECT56837.2022.10060121
M. George; A. M. Chacko,2022,10.1109/ICONAT53423.2022.9725924
S. Mohammed; J. Fiaidhi; D. Sawyer,2021,10.1109/BigData52589.2021.9671394
F. Amrollahi; S. P. Shashikumar; P. Kathiravelu; A. Sharma; S. Nemati,2020,10.1109/EMBC44109.2020.9175947
S. Houta; T. Ameler; R. Surges,2019,10.1109/WiMOB.2019.8923179
P. M. Cunningham; M. Cunningham,2019,10.1109/EMBC.2019.8856860
T. M. Alenazi; A. A. Alhamed,2015,10.1109/ICHI.2015.93
M. Papaioannou; A. Neocleous; P. Savva; F. Miguel; A. Panayides; Z. Antoniou; M. Neofytou; E. C. Schiza; K. Neokleous; I. Constantinou; G. Panos; C. S. Pattichis; C. N. Schizas,2021,10.1109/EMBC46164.2021.9630760
S. Mohammed; J. Fiaidhi; D. Sawyer,2022,10.1109/ICC45855.2022.9838418
S. Mohammed; J. Fiaidhi; D. Sawyer,2022,10.1109/ECBIOS54627.2022.9945031
I. Chouvarda; V. Kilintzis; N. Beredimas; P. Natsiavas; E. Perantoni; I. Vogiatzis; V. Vaimakakis; N. Maglaveras,2016,10.1109/BHI.2016.7455938
H. Suryawanshi; P. R. Deshmukh,2022,10.1109/I4Tech55392.2022.9952529
D. -c. Jeon; D. -h. Lee; H. Hwang,2018,10.1109/ICTC.2018.8539585
E. Wang; P. Tayebi; Y. -T. Song,2023,10.1109/SERA57763.2023.10197705
C. M. -D. L. Cruz; L. F. J. Correia; M. Vargas-Lombardo,2023,10.23919/CISTI58278.2023.10211405
R. Saripalle,2019,10.1109/BIBM47256.2019.8983305
S. Mohammed; J. Fiaidhi; D. Sawyer,2022,10.1109/BigData55660.2022.10020388
V. A. Arcobelli; S. Moscato; A. Marfoglia; F. Nardini; P. Randi; A. Davalli; A. Carbonaro; P. Palumbo; L. Chiari; S. Mellone,2023,10.1109/IEEECONF58974.2023.10404816
O. S. Chirila; L. Stoicu-Tivadar; D. Avram; M. M. Szilagyi; C. -B. Chirila,2024,10.1109/SACI60582.2024.10619795
J. Scheer; T. Nagel; T. Ganslandt,2020,10.1109/VAHC53729.2020.00010
B. Kataoka; J. Brennan; A. Aggarwal; M. Roberts,2022,
A. Roehrs; C. A. da Costa; R. da Rosa Righi; S. J. Rigo; M. H. Wichman,2019,10.1109/JBHI.2018.2836138
N. A. Asad; M. T. Elahi; A. A. Hasan; M. A. Yousuf,2020,10.1109/ICAICT51780.2020.9333488
B. Alamri; I. T. Javed; T. Margaria,2021,10.1109/NTMS49979.2021.9432661
J. Hong; P. Morris; J. Seo,2017,10.1109/ICHI.2017.82
A. Walinjkar; J. Woods,2017,10.1109/ITECHA.2017.8101902
A. Walinjkar; J. Woods,2017,10.1109/SOCIALMEDIA.2017.8057360
S. K. Mukhiya; F. Rabbi; K. I. Pun; Y. Lamo,2019,10.1109/SEH.2019.00008
H. Dagale; S. V. R. Anand; M. Hegde; N. Purohit; M. K. Supreeth; G. S. Gill; V. Ramya; A. Shastry; S. Narasimman; Y. S. Lohith; P. Surya,2015,10.1109/SCC.2015.50
G. M. Bianco; E. Raso; L. Fiore; V. Mazzaracchio; L. Bracciale; F. Arduini; P. Loreti; G. Marrocco; C. Occhiuzzi,2023,10.1109/JRFID.2023.3268422
S. Shafqat; Z. Anwar; Q. Javaid; H. F. Ahmad,2023,10.1109/ISADS56919.2023.10092137
H. D. Hoang; D. Thi Thu Hien; T. C. Nhut; P. Dang Truc Quyen; P. T. Duy; V. -H. Pham,2021,10.1109/ICMLANT53170.2021.9690542
U. Pervez; A. Mahmood; O. Hasan; K. Latif; A. Gawanmeh,2015,10.1109/HealthCom.2015.7454482
Y. Zhu; Y. Sha; H. Wu; M. Li; R. A. Hoffman; M. D. Wang,2022,10.1109/JBHI.2022.3163013
S. Alnegheimish; N. Alrashed; F. Aleissa; S. Althobaiti; D. Liu; M. Alsaleh; K. Veeramachaneni,2020,10.1109/DSAA49011.2020.00068
G. N. Bettoni; T. C. Lobo; C. D. Flores; B. G. T. dos Santos; F. S. da Silva,2021,10.1109/SEH52539.2021.00015
D. Portugal; J. N. Faria; M. Domingues; L. Gaspar,2023,10.1109/CCNC51644.2023.10060813
S. Burattini; S. Montagna; A. Croatti; N. Gentili; A. Ricci; L. Leonardi; S. Pandolfini; S. Tosi,2023,10.1109/CBMS58004.2023.00317
M. Cunningham; P. M. Cunningham,2019,10.1109/GHTC46095.2019.9033052
P. Taechoyotin; P. Prasertsom; M. Phanhong; P. Wongsutthikoson; R. Laohasurayodhin; N. Pasuthip; B. Ruktantichoke,2021,10.1109/IBDAP52511.2021.9552033
G. Ji; J. Woo; G. Lee; C. Msigwa; D. Bernard; J. Yun,2024,10.1109/JIOT.2024.3400509
G. Morabito; A. Ruggeri; A. Celesti; M. Villari; M. Fazio,2024,10.1109/COMPSAC61105.2024.00127
S. Das; D. Naskar; S. R. González; P. Hussey,2024,10.1109/BIBM62325.2024.10822860
P. P. Sonia Dewi; M. Lubis; L. Abdurrahman,2024,10.1109/CITSM64103.2024.10775893
