Title,Authors,Publication Year,DOI
"The Fast Health Interoperability Resources (FHIR) Standard: Systematic Literature Review of Implementations, Applications, Challenges and Opportunities","Ayaz M, Pasha MF, Alzahrani MY, Budiarto R, Stiawan D.",2021,10.2196/21929
GameBus on FHIR,"Geng C, Khanshan A, van Gorp P.",2024,10.3233/SHTI240653
FHIR Analytics - Pragmatic Review of Recent Studies,"Huber L, Honeder T, Hackl WO.",2020,10.3233/SHTI200083
FHIR Man,"Tripathi M, Gardner E.",2016,
The Use of FHIR in Digital Health - A Review of the Scientific Literature,"Lehne M, Luijten S, Vom Felde Genannt Imbusch P, Thun S.",2019,10.3233/SHTI190805
Development of a FHIR RDF data transformation and validation framework and its evaluation,"Prud'hommeaux E, Collins J, Booth D, Peterson KJ, Solbrig HR, Jiang G.",2021,10.1016/j.jbi.2021.103755
HL7 FHIR-based tools and initiatives to support clinical research: a scoping review,"Duda SN, Kennedy N, Conway D, Cheng AC, Nguyen V, Zayas-Cabán T, Harris PA.",2022,10.1093/jamia/ocac105
FHIR Based Interoperability of Medical Devices,"Monteiro SC, Cruz Correia RJ.",2022,10.3233/SHTI220027
"Reducing FHIR ""Profiliferation"": A Data-Driven Approach",Kramer MA.,2023,
Arden Syntax on FHIR,"Csarmann A, Zeckl J, Haug P, Jenders RA, Rappelsberger A, Adlassnig KP.",2023,10.3233/SHTI230521
i2b2 implemented over SMART-on-FHIR,"Paris N, Mendis M, Daniel C, Murphy S, Tannier X, Zweigenbaum P.",2018,
Health Care in the Age of Interoperability Part 6: The Future of FHIR,Braunstein ML.,2019,10.1109/MPULS.2019.2922575
Fast Healthcare Interoperability Resources (FHIR) for Interoperability in Health Research: Systematic Review,"Vorisek CN, Lehne M, Klopfenstein SAI, Mayer PJ, Bartschke A, Haese T, Thun S.",2022,10.2196/35724
The SMART Text2FHIR Pipeline,"Miller TA, McMurry AJ, Jones J, Gottlieb D, Mandl KD.",2023,10.1101/2023.03.21.23287499
"Creating a Medical Imaging Workflow Based on FHIR, DICOMweb, and SVG","Tang ST, Tjia V, Noga T, Febri J, Lien CY, Chu WC, Chen CY, Hsiao CH.",2023,10.1007/s10278-021-00522-6
SMART-on-FHIR implemented over i2b2,"Wagholikar KB, Mandel JC, Klann JG, Wattanasin N, Mendis M, Chute CG, Mandl KD, Murphy SN.",2017,10.1093/jamia/ocw079
Pathling: analytics on FHIR,"Grimes J, Szul P, Metke-Jimenez A, Lawley M, Loi K.",2022,10.1186/s13326-022-00277-1
Mapping the SPHN Dataset to FHIR,"Klopfenstein SAI, Thun S, Crameri K, Stellmach C.",2023,10.3233/SHTI230082
Pediatric Consent on FHIR,"Voronov A, Jafari M, Zhao L, Soliz M, Hong Q, Pope J, Chern D, Lipman M, Grando A.",2024,10.1055/a-2291-1482
MENDS-on-FHIR: Leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance,"Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.",2023,10.1101/2023.08.09.23293900
Supporting Clinical Care: SOFA on FHIR,"Gatrio M, Sasso AM, Sass J, Böttinger PE, Edelman JA, Landgraf DP.",2023,
Patient-Centered Radiology with FHIR: an Introduction to the Use of FHIR to Offer Radiology a Clinically Integrated Platform,"Kamel PI, Nagy PG.",2018,10.1007/s10278-018-0087-6
Shape Expressions (ShEx) schemas for the FHIR R5 specification,"Sharma DK, Prud'hommeaux E, Booth D, Nanjo C, Jiang G.",2023,10.1016/j.jbi.2023.104534
Intelligent Mortality Reporting With FHIR,"Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.",2018,10.1109/JBHI.2017.2780891
Modeling and validating HL7 FHIR profiles using semantic web Shape Expressions (ShEx),"Solbrig HR, Prud'hommeaux E, Grieve G, McKenzie L, Mandel JC, Sharma DK, Jiang G.",2017,10.1016/j.jbi.2017.02.009
Designing Interoperable Health Care Services Based on Fast Healthcare Interoperability Resources: Literature Review,"Nan J, Xu LQ.",2023,10.2196/44842
"MIMIC-IV on FHIR: converting a decade of in-patient data into an exchangeable, interoperable format","Bennett AM, Ulrich H, van Damme P, Wiedekopf J, Johnson AEW.",2023,10.1093/jamia/ocad002
The SMART Text2FHIR Pipeline,"Miller TA, McMurry AJ, Jones J, Gottlieb D, Mandl KD.",2024,
A FHIR Native Radiology Informatics Platform,"Raniga P, Min H, Leroux H.",2024,10.3233/SHTI231260
MeDaX: A Knowledge Graph on FHIR,"Mazein I, Gebhardt T, Zinkewitz F, Michaelis L, Braun S, Waltemath D, Henkel R, Wodke JAH.",2024,10.3233/SHTI240423
Contemporary clinical decision support standards using Health Level Seven International Fast Healthcare Interoperability Resources,"Strasberg HR, Rhodes B, Del Fiol G, Jenders RA, Haug PJ, Kawamoto K.",2021,10.1093/jamia/ocab070
Strategy to Adopt and Deploy HL7 FHIR Standard for Healthcare Interoperability in Korea,"Bae S, Kim IK, Yi BK.",2021,10.4258/hir.2021.27.3.173
Intelligent Mortality Reporting with FHIR,"Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.",2017,10.1109/BHI.2017.7897235
FHIR Healthcare Directories: Adopting Shared Interfaces to Achieve Interoperable Medical Device Data Integration,"Tyndall T, Tyndall A.",2018,
Learning HL7 FHIR Using the HAPI FHIR Server and Its Use in Medical Imaging with the SIIM Dataset,"Hussain MA, Langer SG, Kohli M.",2018,10.1007/s10278-018-0090-y
BLOCKCHAIN IN HEALTHCARE TODAY: 2022 PREDICTIONS,"Conway D, Venkataraman M, Laverick D, Pelin G, Hasselgren A.",2022,10.30953/bhty.v5.194
Can FHIR Support Standardization in Post-Market Safety Surveillance?,"Wang X, Lehmann H, Botsis T.",2021,10.3233/SHTI210115
Real-time algorithmic exchange and processing of pharmaceutical quality data and information,"Anderson C, Algorri M, Abernathy MJ.",2023,10.1016/j.ijpharm.2023.123342
FHIR DataProvider for ReactAdmin: Leveraging User Interface Creation for Medical Web Applications,"Scheible R, Alkier D, Wendroth J, Mayer J, Boeker M.",2023,10.3233/SHTI230436
An Interactive Visualization Tool for HL7 FHIR Specification Browsing and Profiling,"Hong N, Wang K, Wu S, Shen F, Yao L, Jiang G.",2019,10.1007/s41666-018-0043-8
Unified Identification Protocol for Cross-Border Healthcare,"Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.",2023,10.3233/SHTI230752
Clinical Text Mining on FHIR,"Daumke P, Heitmann KU, Heckmann S, Martínez-Costa C, Schulz S.",2019,10.3233/SHTI190188
FHIR-Ontop-OMOP: Building clinical knowledge graphs in FHIR RDF with the OMOP Common data Model,"Xiao G, Pfaff E, Prud'hommeaux E, Booth D, Sharma DK, Huo N, Yu Y, Zong N, Ruddy KJ, Chute CG, Jiang G.",2022,10.1016/j.jbi.2022.104201
Interoperability with multiple Fast Healthcare Interoperability Resources (FHIR(®)) profiles and versions,"Kramer MA, Moesel C.",2023,10.1093/jamiaopen/ooad001
Machine Learning-Enabled Clinical Information Systems Using Fast Healthcare Interoperability Resources Data Standards: Scoping Review,"Balch JA, Ruppert MM, Loftus TJ, Guan Z, Ren Y, Upchurch GR, Ozrazgat-Baslanti T, Rashidi P, Bihorac A.",2023,10.2196/48297
