Title,Authors,Publication Year,DOI
From Data Silos to Health Records Without Borders: A Systematic Survey on Patient-Centered Data Interoperability,Saberi M.A.; Mcheick H.; Adda M.,2025,10.3390/info16020106
Synthetic Data Generation in Hematology - Paving the Way for OMOP and FHIR Integration,Hahn W.; Ahmadi N.; Hoffmann K.; Eckardt J.-N.; Sedlmayr M.; Wolfien M.,2024,10.3233/SHTI240692
Integrated electronic health record tools to access real-world data in oncology research,Casagni M.; Llewellyn N.; Kokolus M.; Chan M.; Dingwell R.; Chow S.; Campbell N.; Elrahi C.; Piantadosi S.; Quina A.,2024,10.1093/jamiaopen/ooae144
'SNOMEDizing' Questionnaires for Standardizing Stroke Registry Data,Riedel A.; Schulz S.; Martínez Costa C.,2024,10.3233/SHTI240687
"Developing a Sustainable Shared Child's Health Record in Low Resources Setting, Lao PDR",Sorsavanh T.; Mori Y.; Yamamoto G.; Liu C.; Kuroda T.,2024,10.3233/SHTI240657
OMOP-on-FHIR: A FHIR Server Development to Facilitate Data Interaction with the OMOP-CDM and FHIR for PGHD,Jathissa P.; Rohatsch L.; Sauermann S.; Hussein R.,2024,10.3233/SHTI240367
Advancing Healthcare Research Through Live-Data Integration: Implementing IEEE 11073 and FHIR in Clinical Environment,Hillmer T.; Riech K.; Gisch S.; Bergh B.; Schreiweis B.; Ulrich H.,2024,10.3233/SHTI240661
Towards a FHIR-Based Framework for Analyzing Nursing-Related Data in Smaller Sized Care Facilities,Netzband S.; Müller D.; Meyer S.; Iseni J.; Kramer F.,2024,10.3233/SHTI240585
Development of a code system for allergens and its integration into the HL7 FHIR AllergyIntolerance resource,Kawazoe Y.; Nagashima S.; Yokota S.; Ohe K.,2025,10.1016/j.ijmedinf.2024.105739
Advancing Healthcare Through Interoperability: Implementing Scalable Solutions for Patient Data Integration,Gour S.; Peake A.; Tong C.; Churm J.; Ahmad B.; Pournik O.; Arvanitis T.N.,2024,10.3233/SHTI240390
An In-Depth Exploration of Mapping openEHR and PGHD: A Case Study on Fitbit-Generated Data,Abedian S.; Taucher C.; Perscha S.; Djuris M.; Hussein R.; Hanke S.,2024,10.3233/SHTI240442
A Study of Interoperability in Electronic Health Record Software,Anantharaman P.; Shapiro R.B.; Varadharaju V.; Locasto M.E.,2024,10.1145/3689942.3694743
"TermX: The semantic interoperability, knowledge management and sharing platform",Bossenko I.; Piho G.; Ivanova M.; Ross P.,2024,10.1016/j.softx.2024.101839
Consumer-Centered Consent Automation in Health Information Exchange,Milosevic Z.,2024,10.3233/SHTI240904
Privacy-Preserving Search on Medical Data,Herres B.; Poschen C.; Knorr K.,2024,10.3233/SHTI240392
MeDaX: A Knowledge Graph on FHIR,Mazein I.; Gebhardt T.; Zinkewitz F.; Michaelis L.; Braun S.; Waltemath D.; Henkel R.; Wodke J.A.H.,2024,10.3233/SHTI240423
Telemedicine Alert API Engine System for Vital Signs,Brieux H.F.M.; La Rosa F.; Masud J.H.B.,2024,10.3233/SHTI240435
"Court society in the south of Ireland, c.1430-c.1620: Evidence from the Butler bardic poems and other Irish sources",de Buitléir G.,2024,10.7765/9781526177308.00010
Data Harmonization in IoT-based Distributed Healthcare System: A review,Hanji S.; Birje M.; Kumbi A.,2024,10.1063/5.0230206
"A systematic review of the use of FHIR to support clinical research, public health and medical education",Pavão J.; Bastardo R.; Rocha N.P.,2025,10.1108/DTA-11-2023-0804
Handling Complexity in Decentralized Research Networks: The Data Sharing Framework Allowlist Management Application,Schweizer S.T.; Hund H.; Kurscheidt M.; Zilske C.; Böhringer J.P.; Fegeler C.,2024,10.3233/SHTI240841
Comparative Analysis of Clinical Terminology Servers: A Quest for an Improved Solution,Ivanova M.; Bossenko I.; Piho G.; Ross P.,2025,10.1007/978-3-031-76368-7_8
Towards Standardizing Ophthalmic Data for Seamless Interoperability in Eye Care,Hoffmann K.; Peng Y.; Schlosser T.; Stolze G.; Langner H.; Susky M.; Meyer T.; Ritter M.; Kowerko D.; Kakkassery V.; Wolfien M.; Sedlmayr M.,2024,10.3233/SHTI240849
ONCO-FAIR Project: Improving Data Interoperability in Oncology Chemotherapy Treatments for Data Reuse,Guilbert B.; Rieu T.; Delamarre D.; Laurent F.; Serre F.; Leroy S.; Paillard E.; Le Buhan N.; Ribault A.; Cuggia M.,2024,10.3233/SHTI240667
Synergies Among Health Data Projects with Cancer Use Cases Based on Health Standards,Gyrard A.; Gribbon P.; Hussein R.; Abedian S.; Bonmati L.M.; Cabornero G.L.; Manias G.; Danciu G.; Dalmiani S.; Autexier S.; Nuland R.; Jendrossek M.; Avramidis I.; Alvarez E.G.,2024,10.3233/SHTI240649
Family history and cancer risk study (FOREST): A clinical trial assessing electronic patient-directed family history input for identifying patients at risk of hereditary cancer,Mittendorf K.F.; Bland H.T.; Andujar J.; Celaya-Cobbs N.; Edwards C.; Gerhart M.; Hooker G.; Hubert M.; Jones S.H.; Marshall D.R.; Myers R.A.; Pratap S.; Rosenbloom S.T.; Sadeghpour A.; Wu R.R.; Orlando L.A.; Wiesner G.L.,2025,10.1016/j.cct.2024.107714
MoCab: A framework for the deployment of machine learning models across health information systems,Kuo Z.-M.; Chen K.-F.; Tseng Y.-J.,2024,10.1016/j.cmpb.2024.108336
Evaluation of technical approaches for real-time data transfer from electronic health record systems,Kirilov N.; Dugas M.,2024,10.1016/j.cmpb.2024.108347
FHIRViz: Multi-Agent Platform for FHIR Visualization to Advance Healthcare Analytics,ALMutairi M.; AlKulaib L.; Wang S.; Chen Z.; ALMutairi Y.; Alenazi T.M.; Luther K.; Lu C.-T.,2024,10.1145/3698587.3701392
Erratum: Correction: FHIR PIT: a geospatial and spatiotemporal data integration pipeline to support subject-level clinical research (BMC medical informatics and decision making (2025) 25 1 DOI: 10.1186/s12911-024-02815-6.),Fecho K.; Garcia J.J.; Yi H.; Roupe G.; Krishnamurthy A.,2025,10.1186/s12911-025-02940-w
FHIR Granular Sensitive Data Segmentation,Lee P.; Mendoza D.; Kaiser M.; Lott E.; Singh G.; Grando A.,2025,10.1055/a-2466-4371
Cross-Standard Health Data Harmonization using Semantics of Data Elements,Zhang S.; Cornet R.; Benis N.,2024,10.1038/s41597-024-04168-1
Networking Aspects of the Electronic Health Records: Hypertext Transfer Protocol Version 2 (HTTP/2) vs HTTP/3,Kirilov N.; Bischoff E.,2024,10.1007/s10916-024-02080-0
Building a Natural Language Interface for FHIR Clinical Terminology Server,Ngo H.,2024,10.3233/SHTI240885
Applications of blockchain in healthcare: State-of-the-art survey,Sathish Kumar J.; Sanand M.V.,2025,
From Clinical Information Systems to Personalized Health Knowledge Graphs,Aghaei S.; Celebi R.; Kreuzthaler M.; Schulz S.,2024,10.3233/SHTI240689
Using Health IT Standards to Facilitate Metadata Exchange Between Research Data Management Systems,Löbe M.; Hu X.; Klopfenstein S.A.I.,2024,10.3233/SHTI240676
The Creation of Intensional Medication Lists Using the NHS Dictionary of Medicines and Devices,Jamie G.; Byford R.; Wimalaratna R.; De Lusignan S.,2024,10.3233/SHTI241097
Semantic interoperability for an AI-based applications platform for smart hospitals using HL7 FHIR,Rigas E.S.; Lagakis P.; Karadimas M.; Logaras E.; Latsou D.; Hatzikou M.; Poulakidas A.; Billis A.; Bamidis P.D.,2024,10.1016/j.jss.2024.112093
Defining methods to improve eSource site start-up practices,Cramer A.E.; King L.S.; Buckley M.T.; Casteleyn P.; Ennis C.; Hamidi M.; Rodrigues G.M.C.; Snyder D.C.; Vattikola A.; Eisenstein E.L.,2024,10.1016/j.conctc.2024.101391
Establishing core data elements for colorectal cancer and mapping to FHIR resources: Towards interoperable Iranian health information systems,Nopour R.; Nasiri S.; Ahmadi M.; Shirkhoda M.,2025,10.4103/jehp.jehp_1834_23
AfriBiobank: Empowering Africa’s Medical Imaging Research and Practice Through Data Sharing and Governance,Ismaila L.E.; Turki H.; Frikha M.; Weinstein T.; Hunja F.; Fourie C.; Adeshina S.A.,2025,10.1007/978-3-031-79103-1_20
Establishing data elements and exchange standards to support long COVID healthcare and research,Dolin G.; Saitwal H.; Bertodatti K.; Mueller S.; Bierman A.S.; Suls J.; Brandt K.; Camara D.S.; Leppry S.; Jones E.; Gallego E.; Carlson D.; Norton J.,2024,10.1093/jamiaopen/ooae095
Electronic health record in military healthcare systems: A systematic review,Torab-Miandoab A.; Basiri M.; Dabbagh-Moghaddam A.; Gholamhosseini L.,2025,10.1371/journal.pone.0313641
PostgREST Data Provider for React-Admin: Bootstrap the creation of user interfaces on top of PostgreSQL databases,Scheible R.,2024,10.1016/j.simpa.2024.100699
Metadata Driven Integration of Clinical Data for Secondary Use in FHIR - A Pilot Study at the UKSH,Simon F.; Schladetzky J.; Macke S.; Ablaß T.; Ingenerf J.; Kock-Schoppenhauer A.-K.,2024,10.3233/SHTI240850
