"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Preliminary Implementation of HL7 FHIR to Achieve Interoperability in Indonesia's Local EHR","I. F. Hidayat; B. R. Hermanto","School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia",2020 27th International Conference on Telecommunications (ICT),"30 Oct 2020","2020","","","1","5","Electronic Health Records (EHR) presents opportunities to improve interoperability between healthcare services. Interoperability is needed by the primary health centers in Indonesia to enable seamless transfer of patient's health records across healthcare facilities. However, the development of EHR in Indonesia makes interoperability difficult to achieve because it is built differently among healthcare services. This study aims to explore the feasibility of implementing the HL7 FHIR standard in the Indonesian primary health center's EHR. Fast Healthcare Interoperability Resources (FHIR) is a health interoperability standard developed by HL7 that supports syntactic interoperability upon the concept of resources and API. This interoperability standard helps to build the bridge to enable coordination between different systems. In this study, we implemented an EHR client-server prototype to simulate the exchange of health data using the FHIR resources and REST API. The health data messages were modeled and structured as a FHIR resource. The calculation of content overlap shows that only 65.8% of local health data can be represented as a FHIR resource. We did the profiling to further adapt the use of FHIR resources to meet Indonesia's health data requirements. The extensions were added to represent the local data elements that FHIR resources cannot cover. This preliminary study showed that FHIR implementation is possible in Indonesia's primary health centers. The implementation of 111.7 FHIR using FHIR resources, profile, and REST API supports the syntactic and semantic interoperability. It can provide quality data to support the referral system, analysis purposes, and health decision-making.","","978-1-7281-6587-5","10.1109/ICT49546.2020.9239534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239534","interoperability;FHIR;resources;profile;REST API","Semantics;Decision making;Medical services;Syntactics;Telecommunications;Interoperability;Standards","","5","","22","IEEE","30 Oct 2020","","","IEEE","IEEE Conferences"
"Health Care in the Age of Interoperability Part 6: The Future of FHIR","M. L. Braunstein","School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Pulse,"1 Aug 2019","2019","10","4","25","27","This is the sixth and last article in a series on the dramatic transformation taking place in health informatics in large part because of the new Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) standard. The first article provided background on health care, electronic health record systems for physicians, and the challenges they both face along with the potential of interoperability to help overcome them. The second introduced the basics of the FHIR standard and some suggested resources for those who are interested in its further exploration. The third introduced SMART on FHIR which, based on its wide adoption, has become the default standard FHIR app platform. The fourth looked at clinical decision support, arguably the single most important providerfacing use case for FHIR. The fifth introduced the personal health record and tools that can utilize the data stored in it as an important use case for FHIR in support of patients. This article looks at the future uses of FHIR with a particular emphasis on those that might impact on research uses of health data. The articles in this series are intended to introduce researchers from other fields to this one and assume no prior knowledge of healthcare or health informatics. They are abstracted from the author's recently published book, Health Informatics on FHIR: How HL7's New API is Transforming Healthcare (Springer International Publishing: https://www.springer.com/us/book/9783319934136).","2154-2317","","10.1109/MPULS.2019.2922575","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784362","","Medical services;Informatics;Data mining;Interoperability;Electronic medical records","Decision Support Systems, Clinical;Delivery of Health Care;Electronic Health Records;Health Level Seven;Humans;Software","12","","0","IEEE","1 Aug 2019","","","IEEE","IEEE Magazines"
"Health care in the age of interoperability part 5: the personal health record","M. L. Braunstein",Georgia Institute of Technology,IEEE Pulse,"22 May 2019","2019","10","3","19","23","This is the fifth in a series of articles on the dramatic transformation taking place in health informatics in large part because of the new Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) standard. The first article provided background on health care, electronic health record systems for physicians, and the challenges they both face along with the potential of interoperability to help overcome them. The second introduced the basics of the FHIR standard and some suggested resources for those who are interested in its further exploration. The third introduced SMART on FHIR which, based on its wide adoption, has become the default standard FHIR app platform. The fourth looked at clinical decision support, arguably the single most important provider-facing use case for FHIR. This article introduces the personal health record and tools that can utilize the data stored in it as an important use case for FHIR in support of patients. The articles in this series are intended to introduce researchers from other fields to this one and assume no prior knowledge of health care or health informatics. They are abstracted from the author's recently published book, Health Informatics on FHIR: How HL7's New API is Transforming Healthcare (Springer International Publishing: https://www.springer.com/us/ book/9783319934136).","2154-2317","","10.1109/MPULS.2019.2911804","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8720286","","Medical diagnostic imaging;Electronic medical records;Interoperability;Medical information systems;Informatics;Bioinformatics","Decision Support Systems, Clinical;Electronic Health Records;Health Level Seven;Health Records, Personal;Humans;Software","10","","8","IEEE","22 May 2019","","","IEEE","IEEE Magazines"
"Achieving RBAC on RESTful APIs for Mobile Apps Using FHIR","Y. K. Rivera Sánchez; S. A. Demurjian; M. S. Baihan","Department of Computer Science & Engineering, University of Connecticut, Storrs, CT, US; Department of Computer Science & Engineering, University of Connecticut, Storrs, CT, USA; Department of Computer Science & Engineering, University of Connecticut, Storrs, CT, USA","2017 5th IEEE International Conference on Mobile Cloud Computing, Services, and Engineering (MobileCloud)","12 Jun 2017","2017","","","139","144","Health Information Exchange (HIE) provides a morecomplete health record of an individual that improves patientcare with relevant data gathered from multiple healthinformation technology (HIT) systems. In support of HIE, theHealth Level Seven (HL7) XML standard was developed tomanage, exchange, integrate, and retrieve electronic healthinformation. In 2011, HL7 began drafting a next-generationstandard, Fast Healthcare Interoperable Resources (FHIR), tofacilitate the development and interaction of mobile health(mHealth) apps, HIT data sharing, and common format forinformation modeling. FHIR is based on RESTful APIs andsupported by a FHIR server infrastructure that facilitates theexchange in a cloud computing setting. FHIR while possessing asecurity specification, has yet to define and identify actualsecurity mechanisms for secure data exchange via RESTful APIcalls. In this paper, we incorporate role-based access control(RBAC) into FHIR to support the ability to control access ofwho can call which services of FHIR RESTful APIs that managesensitive healthcare data. The work is demonstrated utilizing amHealth application that communicates with the OpenEMRelectronic health record via the HAPI FHIR server.","","978-1-5090-6325-3","10.1109/MobileCloud.2017.22","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7944884","access control;data management;Fast Interoperable Healthcare Resources (FHIR);healthcare systems;interoperability;mobile applications;role-based access control (RBAC)","Medical services;Access control;Servers;Mobile communication;Libraries","","9","","28","IEEE","12 Jun 2017","","","IEEE","IEEE Conferences"
"Scalable micro-service based approach to FHIR server with golang and No-SQL","F. S. Shoumik; M. I. M. M. Talukder; A. I. Jami; N. W. Protik; M. M. Hoque","Department of CSE, Ahsanullah University of Science and Technology (AUST); Department of CSE, AUST; Department of CSE, AUST; Department of CSE, AUST; Department of CSE, Ahsanullah University of Science and Technology (AUST)",2017 20th International Conference of Computer and Information Technology (ICCIT),"8 Feb 2018","2017","","","1","6","Fast Health Interoperability Resource (FHIR) for Electronic Health Record (EHR) not only opens a new era for health-care systems to exchange data between themselves but also allows other various systems following the same framework to communicate between them. FHIR is engaging and evolving rapidly and it is creating the need of massive data storage, retrieval and transfer requirements. For a server that implements this framework, has to be agile to cope with the growing and massive data handling. E-health-care data also seem to grow proportional to time. So, an ideal FHIR Server has to be scalable to fit this demand over time. Several different tools could help store, anonymize, analyze and extract data because there are no single tools to get all those things done. In this work, we propose a scalable, agile, and reliable Micro-service based Architecture for FHIR server that is highly available with the help of Document Oriented Database and helps to store health-care data. The proposed architecture is fast responsive. It gives our system the flexibility to use different tools that implement FHIR Framework interface in such way that the whole system could be made vertically scalable and the system can perform better in terms of time complexity compared to a Monolithic based implementation of the framework. Experimental results show that the proposed model can be highly used as an alternative to currently available FHIR system implementation.","","978-1-5386-1150-0","10.1109/ICCITECHN.2017.8281846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8281846","FHIR;Interoperability;REST API;Health-Care system;scalability;micro-service","Servers;Logic gates;Business;Benchmark testing;Databases;Scalability;Tools","","6","","15","IEEE","8 Feb 2018","","","IEEE","IEEE Conferences"
"Accelerating Multi-site Health Informatics with Streamlined Data Infrastructure using OMOP-on-FHIR","B. L. Marteau; Y. Zhu; F. Giuste; W. Shi; A. Carpenter; C. Hilton; M. D. Wang","Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Wallace H. Coulter School of Biomedical Engineering, Georgia Institute of Technology, Emory University, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Research Programs, Shriners Children's, Tampa, FL, USA; Department of Research Programs, Shriners Children's, Tampa, FL, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"8 Sep 2022","2022","","","4687","4690","Shriners Children's (SHC) is a hospital system whose mission is to advance the treatment and research of pediatric diseases. SHC success has generated a wealth of clinical data. Unfortunately, barriers to healthcare data access often limit data-driven clinical research. We decreased this burden by allowing access to clinical data via the standardized data access standard called FHIR (Fast Healthcare Interoperability Resources). Specifically, we converted existing data in the Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) standard into FHIR data elements using a technology called OMOP-on-FHIR. In addition, we developed two applications leveraging the FHIR data elements to facilitate patient cohort curation to advance research into pediatric musculoskeletal diseases. Our work enables clinicians and clinical researchers to use hundreds of currently available open-sourced FHIR applications. Our successful implementation of OMOP-on-FHIR within a large hospital system will accelerate advancements in pediatric disease treatment and research.","2694-0604","978-1-7281-2782-8","10.1109/EMBC48229.2022.9871865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9871865","","Musculoskeletal system;Pediatrics;Protocols;Hospitals;Databases;Data models;Bioinformatics","Child;Health Facilities;Hospitals;Humans;Medical Informatics;Musculoskeletal Diseases;Technology","5","","10","IEEE","8 Sep 2022","","","IEEE","IEEE Conferences"
"Visual FHIR: An Interactive Browser to Navigate HL7 FHIR Specification","N. Hong; K. Wang; L. Yao; G. Jiang","Department of Health Sciences Research, Mayo Clinic, Rochester, Minnesota, USA; Department of Health Sciences Research, Mayo Clinic, Rochester, Minnesota, USA; Department of Health Sciences Research, Mayo Clinic, Rochester, Minnesota, USA; Department of Health Sciences Research, Mayo Clinic, Rochester, Minnesota, USA",2017 IEEE International Conference on Healthcare Informatics (ICHI),"14 Sep 2017","2017","","","26","30","The HL7 Fast Healthcare Interoperability Resources (FHIR) specification is emerging as a next generation standards framework for the exchange of electronic health records (EHR) data. The rich semantic representation and sophisticated structure definition of the FHIR requires a relatively deep learning curve to understand and utilize. The objective of our study is to design and develop a user-friendly interface for navigating and manipulating the FHIR specification. We prototyped a visualization platform for interactively exploring FHIR core resources and profiles. We evaluated the utility of the FHIR visualization platform using the evaluation metrics mainly focusing on its usability, interactive mechanisms and content expressiveness. We demonstrated that the visualization techniques are helpful for navigating the HL7 FHIR specification and aiding its profiling.","","978-1-5090-4881-6","10.1109/ICHI.2017.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8031128","HL7 FHIR;Visualization;Interactive;clinical data model","Data visualization;Browsers;Standards;Navigation;Medical services;Visualization;Data models","","4","","12","IEEE","14 Sep 2017","","","IEEE","IEEE Conferences"
"Health Care in the Age of Interoperability: Part 4","M. L. Braunstein","School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Pulse,"22 Apr 2019","2019","10","2","31","33","This is the fourth in a series of articles on the dramatic transformation taking place in health informatics in large part because of the new Health Level 7 (HL7) Fast Healthcare Interoperability Resources (FHIR) standard. The first healthcare, health article provided background on electronic record systems for physicians, and the challenges they both face along with the potential of interoperability to help overcome them. The second introduced the basics of the FHIR standard and some suggested resources for those who are interested in its further exploration. The third introduced SMART on FHIR, which, based on its wide adoption, has become the default standard FHIR app platform. This article introduces clinical decision support as an important use case for FHIR in support of health care providers. The articles in this series are intended to introduce researchers from other fields to this one and assume no prior knowledge of health care or health informatics. They are abstracted from the author's recently published book, Health Informatics on FHIR: How HL7's New API is Transforming Healthcare (Springer International Publishing: https://www.springer.com/us/book/9783319934136).","2154-2317","","10.1109/MPULS.2019.2899706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8695214","","Bioinformatics;Informatics;Hospitals;Interoperability;Medical services;Electronic medical records","Decision Support Systems, Clinical;Electronic Health Records;Health Level Seven;Humans;Mobile Applications","2","","3","IEEE","22 Apr 2019","","","IEEE","IEEE Magazines"
"On the Trustworthiness of FHIR-Based Internet-of-Things Digital Health Systems","T. Pope; A. Patooghy; A. Sarrafzadeh","Department of Computer Systems Technology, North Carolina A&T State University, Greensboro, NC; Department of Computer Systems Technology, North Carolina A&T State University, Greensboro, NC; Department of Computer Systems Technology, North Carolina A&T State University, Greensboro, NC",2023 IEEE 66th International Midwest Symposium on Circuits and Systems (MWSCAS),"31 Jan 2024","2023","","","279","283","Modernization in healthcare has led to new trends, such as using the Internet of Medical Things (IoMT) to collect millions of health-related data points within digital health systems daily. Fast Healthcare Interoperability Resources (FHIR) has been proposed and widely adopted as an efficient method for exchanging healthcare information in digital health environments. As the emergence of FHIR-based health systems continues to grow, assessing the reliability of such FHIR systems is essential. To the best of our knowledge, no literary work addresses this gap. In this study, for the first time, we explore the trustworthiness of FHIR-based healthcare systems by identifying several relevant fault models and introducing two metrics that can help measure the reliability of FHIR-based systems. Our proposed metrics give a rough estimation of the interoperability and trust of a given FHIR-based health system. Using our proposed metrics, we evaluated a unique instance of the publicly available HAPI FHIR Test system.","1558-3899","979-8-3503-0210-3","10.1109/MWSCAS57524.2023.10406028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10406028","Digital Health Systems;Internet of Medical Things (IoMT);Fast Healthcare Interoperability Resources (FHIR);Reliability","Fault diagnosis;Circuits and systems;Estimation;Internet of Medical Things;Market research;Time measurement;Electronic healthcare;Circuit faults;Interoperability","","1","","26","IEEE","31 Jan 2024","","","IEEE","IEEE Conferences"
"FASS-ECG: A FHIR Cloud API to Enable Streaming and Storage of Continuous 12-leads ECGs","C. R. Pereira; A. P. Sousa; F. P. Itturriet; J. C. Machado; A. L. Del Mestre Martins","IFSul, Sul-Rio-Grandense Federal Institute, Charqueadas, Brazil; IFSul, Sul-Rio-Grandense Federal Institute, Charqueadas, Brazil; IFSul, Sul-Rio-Grandense Federal Institute, Charqueadas, Brazil; IFSul, Sul-Rio-Grandense Federal Institute, Charqueadas, Brazil; IFSul, Sul-Rio-Grandense Federal Institute, Charqueadas, Brazil",2023 IEEE 36th International Symposium on Computer-Based Medical Systems (CBMS),"17 Jul 2023","2023","","","898","903","The interoperability between health web applications (eHealth) is one of the main challenges to fully adopting the broad range of applications like IoT devices, wearable devices, APIs, web apps, and mobile apps, among others. FHIR (Fast Healthcare Interoperability Resources) stands out concerning interoperability because the design focus on eHealth to offer a flexible, scalable, and lightweight approach to healthcare data exchange. In particular, electrocardiograms (ECGs) include transmission, management, and storage challenges due to their stream-like characteristic of the information. Researchers have proposed ECG streaming by ignoring or modifying the FHIR standards. This work proposes FASS-ECG, a FHIR-compatible cloud API for streaming ECGs. FASS-ECG contains endpoints for reading and writing long-term ECGs distributed in multiple web requests. Two FASS-ECG designs are investigated to process, store, and persist one ECG record despite the distributed transmission. FASS-ECG designs rely on object storage software and data partitioning in the database. The results show that both FASS-ECG designs can stream ECGs fully compatible with FHIR standard records. In particular, long-term ECG writing can increase response times more than 4 x without the storage techniques employed in FASS-ECG. We validate the FHIR interoperability of FASS-ECG against an open source complete implementation of the FHIR.","2372-9198","979-8-3503-1224-9","10.1109/CBMS58004.2023.00339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10178753","ECG;EKG;Electrocardiogram;ECG streaming;FHIR;interoperability","Wearable computers;Telemedicine;Electrocardiography;Writing;Software;Electronic healthcare;Time factors","","1","","20","IEEE","17 Jul 2023","","","IEEE","IEEE Conferences"
