PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34328424","The Fast Health Interoperability Resources (FHIR) Standard: Systematic Literature Review of Implementations, Applications, Challenges and Opportunities","Ayaz M, Pasha MF, Alzahrani MY, Budiarto R, Stiawan D.","JMIR Med Inform. 2021 Jul 30;9(7):e21929. doi: 10.2196/21929.","Ayaz M","JMIR Med Inform","2021","2021/07/30","PMC8367140","","10.2196/21929"
"39176622","GameBus on FHIR","Geng C, Khanshan A, van Gorp P.","Stud Health Technol Inform. 2024 Aug 22;316:1312-1313. doi: 10.3233/SHTI240653.","Geng C","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240653"
"32578550","FHIR Analytics - Pragmatic Review of Recent Studies","Huber L, Honeder T, Hackl WO.","Stud Health Technol Inform. 2020 Jun 23;271:110-112. doi: 10.3233/SHTI200083.","Huber L","Stud Health Technol Inform","2020","2020/06/25","","","10.3233/SHTI200083"
"27266007","FHIR Man","Tripathi M, Gardner E.","Health Data Manag. 2016 Mar-Apr;24(3):56.","Tripathi M","Health Data Manag","2016","2016/06/09","","",""
"31483254","The Use of FHIR in Digital Health - A Review of the Scientific Literature","Lehne M, Luijten S, Vom Felde Genannt Imbusch P, Thun S.","Stud Health Technol Inform. 2019 Sep 3;267:52-58. doi: 10.3233/SHTI190805.","Lehne M","Stud Health Technol Inform","2019","2019/09/05","","","10.3233/SHTI190805"
"33781919","Development of a FHIR RDF data transformation and validation framework and its evaluation","Prud'hommeaux E, Collins J, Booth D, Peterson KJ, Solbrig HR, Jiang G.","J Biomed Inform. 2021 May;117:103755. doi: 10.1016/j.jbi.2021.103755. Epub 2021 Mar 26.","Prud'hommeaux E","J Biomed Inform","2021","2021/03/30","PMC8131260","NIHMS1690909","10.1016/j.jbi.2021.103755"
"35818340","HL7 FHIR-based tools and initiatives to support clinical research: a scoping review","Duda SN, Kennedy N, Conway D, Cheng AC, Nguyen V, Zayas-Cabán T, Harris PA.","J Am Med Inform Assoc. 2022 Aug 16;29(9):1642-1653. doi: 10.1093/jamia/ocac105.","Duda SN","J Am Med Inform Assoc","2022","2022/07/12","PMC9382376","","10.1093/jamia/ocac105"
"35672966","FHIR Based Interoperability of Medical Devices","Monteiro SC, Cruz Correia RJ.","Stud Health Technol Inform. 2022 Jun 6;290:37-41. doi: 10.3233/SHTI220027.","Monteiro SC","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220027"
"37128432","Reducing FHIR ""Profiliferation"": A Data-Driven Approach","Kramer MA.","AMIA Annu Symp Proc. 2023 Apr 29;2022:634-643. eCollection 2022.","Kramer MA","AMIA Annu Symp Proc","2023","2023/05/02","PMC10148270","",""
"37387055","Arden Syntax on FHIR","Csarmann A, Zeckl J, Haug P, Jenders RA, Rappelsberger A, Adlassnig KP.","Stud Health Technol Inform. 2023 Jun 29;305:423-424. doi: 10.3233/SHTI230521.","Csarmann A","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230521"
