"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link"
"Saberi M.A.; Mcheick H.; Adda M.","Saberi, Mohammad Ali (57347974800); Mcheick, Hamid (6508070583); Adda, Mehdi (55897082100)","57347974800; 6508070583; 55897082100","From Data Silos to Health Records Without Borders: A Systematic Survey on Patient-Centered Data Interoperability","2025","10.3390/info16020106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218455527&doi=10.3390%2finfo16020106&partnerID=40&md5=9a861f7d363e9f04f981440e0411721c"
"Hahn W.; Ahmadi N.; Hoffmann K.; Eckardt J.-N.; Sedlmayr M.; Wolfien M.","Hahn, Waldemar (57255281800); Ahmadi, Najia (57283529300); Hoffmann, Katja (57214825228); Eckardt, Jan-Niklas (57221053738); Sedlmayr, Martin (56043034300); Wolfien, Markus (55633497900)","57255281800; 57283529300; 57214825228; 57221053738; 56043034300; 55633497900","Synthetic Data Generation in Hematology - Paving the Way for OMOP and FHIR Integration","2024","10.3233/SHTI240692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202002537&doi=10.3233%2fSHTI240692&partnerID=40&md5=1ab7299d478cad5284b3367dc361ebc8"
"Casagni M.; Llewellyn N.; Kokolus M.; Chan M.; Dingwell R.; Chow S.; Campbell N.; Elrahi C.; Piantadosi S.; Quina A.","Casagni, Michelle (6504272049); Llewellyn, Nicole (59472787000); Kokolus, Maeve (59300301700); Chan, Miranda (59299714600); Dingwell, Robert (55510964700); Chow, Selina (56900574700); Campbell, Nancy (59594763400); Elrahi, Cassandra (59299714700); Piantadosi, Steven (7006788081); Quina, Andre (57201078676)","6504272049; 59472787000; 59300301700; 59299714600; 55510964700; 56900574700; 59594763400; 59299714700; 7006788081; 57201078676","Integrated electronic health record tools to access real-world data in oncology research","2024","10.1093/jamiaopen/ooae144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212150985&doi=10.1093%2fjamiaopen%2fooae144&partnerID=40&md5=1d43f1cf6ec443c3650b513b1e9ebac3"
"Riedel A.; Schulz S.; Martínez Costa C.","Riedel, Andrea (59297746000); Schulz, Stefan (57189519350); Martínez Costa, Catalina (24399477800)","59297746000; 57189519350; 24399477800","'SNOMEDizing' Questionnaires for Standardizing Stroke Registry Data","2024","10.3233/SHTI240687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202004679&doi=10.3233%2fSHTI240687&partnerID=40&md5=9daceb5dfdc54e79083ee43a99d5d221"
"Sorsavanh T.; Mori Y.; Yamamoto G.; Liu C.; Kuroda T.","Sorsavanh, Thepphouthone (57205638976); Mori, Yukiko (36009083500); Yamamoto, Goshiro (18039076900); Liu, Chang (57219170755); Kuroda, Tomohiro (9233475900)","57205638976; 36009083500; 18039076900; 57219170755; 9233475900","Developing a Sustainable Shared Child's Health Record in Low Resources Setting, Lao PDR","2024","10.3233/SHTI240657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202002810&doi=10.3233%2fSHTI240657&partnerID=40&md5=3aa512ef3b4567ad12a55a70dbb09d6b"
"Jathissa P.; Rohatsch L.; Sauermann S.; Hussein R.","Jathissa, Prabath (58477620800); Rohatsch, Lukas (57209347629); Sauermann, Stefan (6602179283); Hussein, Rada (57532920800)","58477620800; 57209347629; 6602179283; 57532920800","OMOP-on-FHIR: A FHIR Server Development to Facilitate Data Interaction with the OMOP-CDM and FHIR for PGHD","2024","10.3233/SHTI240367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202000598&doi=10.3233%2fSHTI240367&partnerID=40&md5=a12117a37d1e3c7f379a97c3c5e5e941"
"Hillmer T.; Riech K.; Gisch S.; Bergh B.; Schreiweis B.; Ulrich H.","Hillmer, Tobias (59297770600); Riech, Kathrin (57219018517); Gisch, Simon (59297681200); Bergh, Björn (6701419251); Schreiweis, Björn (55562120100); Ulrich, Hannes (56347799300)","59297770600; 57219018517; 59297681200; 6701419251; 55562120100; 56347799300","Advancing Healthcare Research Through Live-Data Integration: Implementing IEEE 11073 and FHIR in Clinical Environment","2024","10.3233/SHTI240661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202002772&doi=10.3233%2fSHTI240661&partnerID=40&md5=bd817b0c5fcfc3be89da514e49803e3e"
"Netzband S.; Müller D.; Meyer S.; Iseni J.; Kramer F.","Netzband, Steffen (57419870600); Müller, Dominik (57219584854); Meyer, Stefanie (59297718200); Iseni, Jeton (59297896900); Kramer, Frank (55340731000)","57419870600; 57219584854; 59297718200; 59297896900; 55340731000","Towards a FHIR-Based Framework for Analyzing Nursing-Related Data in Smaller Sized Care Facilities","2024","10.3233/SHTI240585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202004790&doi=10.3233%2fSHTI240585&partnerID=40&md5=a161468c8287bc5da7045f9be82a96d4"
"Kawazoe Y.; Nagashima S.; Yokota S.; Ohe K.","Kawazoe, Yoshimasa (7202337925); Nagashima, Satomi (58036815300); Yokota, Shinichiroh (57188640366); Ohe, Kazuhiko (7102871564)","7202337925; 58036815300; 57188640366; 7102871564","Development of a code system for allergens and its integration into the HL7 FHIR AllergyIntolerance resource","2025","10.1016/j.ijmedinf.2024.105739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210735090&doi=10.1016%2fj.ijmedinf.2024.105739&partnerID=40&md5=e38f864ba0041b4e1a202e57628804f3"
"Gour S.; Peake A.; Tong C.; Churm J.; Ahmad B.; Pournik O.; Arvanitis T.N.","Gour, Shramika (57777140600); Peake, Ashley (57777160100); Tong, Chao (58477537600); Churm, James (56584420200); Ahmad, Bilal (57777604300); Pournik, Omid (25655405800); Arvanitis, Theodoros N. (6701910707)","57777140600; 57777160100; 58477537600; 56584420200; 57777604300; 25655405800; 6701910707","Advancing Healthcare Through Interoperability: Implementing Scalable Solutions for Patient Data Integration","2024","10.3233/SHTI240390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202007941&doi=10.3233%2fSHTI240390&partnerID=40&md5=07eb4a75ef45ed360e76e534ce4867c2"
