Title,Authors,Publication Year,DOI
,M. Krol; D. L. Reich,1998,10.1109/CBMS.1998.701221
HL7 Version 3 - An object-oriented methodology for collaborative standards development,Beeler G.W.,1998,10.1016/S1386-5056(97)00121-4
HL7 version 3--an object-oriented methodology for collaborative standards development,Beeler GW.,1998,10.1016/s1386-5056(97)00121-4
,Der-Ming Liou; Ean-Wen Huang; Tsong-Tai Chen; Sheng-Hsiung Hsiao,2000,10.1109/ITAB.2000.892415
The HL7 clinical document architecture,Dolin R.H.; Alschuler L.; Beebe C.; Biron P.V.; Boyer S.L.; Essin D.; Kimber E.; Lincoln T.; Mattison J.E.,2001,10.1136/jamia.2001.0080552
Standards for detailed clinical models as the basis for medical data exchange and decision support,Coyle J.F.; Mori A.R.; Huff S.M.,2003,10.1016/S1386-5056(02)00103-X
Standards for detailed clinical models as the basis for medical data exchange and decision support,"Coyle JF, Mori AR, Huff SM.",2003,10.1016/s1386-5056(02)00103-x
,A. Mazzarisi; P. Marcheschi; S. Dalmiani; P. Marraccini; U. Startari; M. Piacenti,2004,10.1109/CIC.2004.1443016
,G. Djukic; P. Marraccini; A. Mazzarisi; P. Marcheschi; A. Benassi,2004,10.1109/CIC.2004.1443004
Artemis message exchange framework: Semantic interoperability of exchanged messages in the healthcare domain,Bicer V.; Laleci G.B.; Dogac A.; Kabak Y.,2005,10.1145/1084805.1084819
Towards the construction of the information infrastructure for genome medicine,Sakamoto N.; Nakaya J.,2005,10.1007/11527725_18
Communicating data from wireless sensor networks using the HL7v3 standard,Baird S.; Dawson-Haggerty S.; Myung D.; Gaynor M.; Welsh M.; Moulton S.,2006,10.1109/BSN.2006.18
Multimedia content management with HL7v3 messages,Končar M.; Mrkonjić G.; Tonković S.,2006,10.1109/ELMAR.2006.329569
Semantic interoperability: HL7 version 3 compared to advanced architecture standards,Blobel B.G.M.E.; Engel K.; Pharow P.,2006,10.1055/s-0038-1634087
Advanced and secure architectural EHR approaches,Blobel B.,2006,10.1016/j.ijmedinf.2005.07.017
Interface analysis between GSVML and HL7 version 3,Hiroi K.; Ido K.; Yang W.; Nakaya J.,2007,10.1016/j.jbi.2006.12.006
Design and Development of Standards (HL7 V3) Based Enterprise Architecture for Public Health Programs Integration at the County of Los Angeles,Shakir A.-M.; Cardenas D.; Datta G.; Mittra D.; Basu A.; Verma R.,2007,10.4018/jhisi.2007040104
A grid-based implementation of XDS-I as a part of a metropolitan EHR in Shanghai,Zhang J.; Zhang C.; Sun J.; Yang Y.; Jin J.; Yu F.; He Z.; Zheng X.; Qin H.; Feng J.; Zhang G.,2007,10.1117/12.709117
,H. Jin; A. Sun; R. Zheng; R. He; Q. Zhang,2007,10.1109/CCGRID.2007.77
,J. H. Yun; I. K. Kim,2007,10.1109/ICCIT.2007.102
Portable CDA for the exchange of clinical documents,Chang Y.J.; Lai J.S.; Cheng P.H.; Lai F.,2007,10.1109/HEALTH.2007.381593
Processing HL7-CDA entry for semantic interoperability,Yun J.H.; Kim I.K.,2007,10.1109/ICCIT.2007.4420535
Implementing a new ADT based on the HL7 version 3 RIM,Spahni S.; Lovis C.; Mercille R.; Verdel H.; Cotten M.; Geissbühler A.,2007,10.1016/j.ijmedinf.2006.05.006
Design and development of standards (HL7 V3) based enterprise architecture for public health programs integration at the county of Los Angeles,Shakir A.-M.; Cardenas D.; Datta G.; Mittra D.; Basu A.; Verma R.,2008,10.4018/978-1-60566-050-9.ch039
How HL7 version 3 is used at the Sahlgrenska University Hospital to exchange information with a central archive,Carlsson G.; Hagberg T.; Bogavac L.; Wintell M.,2008,10.1117/12.770003
Minimized domain knowledge for SOA-based interoperability,Dehmoobad A.; Sartipi K.,2008,10.1109/APSCC.2008.132
,G. A. Lewis; E. Morris; S. Simanta; L. Wrage,2008,10.1109/ICCBSS.2008.25
Standard-based data and service interoperability in eHealth systems,Sartipi K.; Yarmand M.H.,2008,10.1109/ICSM.2008.4658067
Comparing the apgar score representation in HL7 and OpenEHR formalisms,Cuggia M.; Bayat S.; Rossille D.; Poulain P.; Pladys P.; Robert H.; Duvauferrier R.,2009,10.3233/978-1-60750-044-5-250
Graciously handling a level of change in a complex specification: Configuration management for community-scale implementation of an HL7v3 messaging specification,McCay C.; Odling-Smee M.; Waller J.; Wrightson A.,2009,10.4242/BalisageVol3.Wrightson01
An ontology architecture for HL7 V3: Pitfalls and outcomes,Oemig F.; Blobel B.,2009,10.1007/978-3-642-03893-8_118
Tool-assisted healthcare knowledge to HL7 message translation,Jayaratna P.; Sartipi K.,2009,10.1109/ICCME.2009.4906662
Digital health care ecosystem: SOA compliant HL7 based health care information interchange,Janjua N.K.; Hussain M.; Afzal M.; Ahmad H.F.,2009,10.1109/DEST.2009.5276681
PPEPR for enterprise healthcare integration,Fox R.; Sahay R.; Hauswirth M.,2009,10.1007/978-3-642-00413-1_16
Automated testing of healthcare document transformations in the PICASSO interoperability platform,Pascale M.; Roselli M.; Rugani U.; Bartolini C.; Bertolino A.; Lonetti F.; Marchetti E.; Polini A.,2009,10.1109/ICSE-COMPANION.2009.5070974
Sending electronic nursing discharge messages using the HL7 v3 care provision standard,Goossen W.,2009,10.3233/978-1-60750-024-7-269
An interoperability test framework for HL7-based systems,Namli T.; Aluc G.; Dogac A.,2009,10.1109/TITB.2009.2016086
SU‐FF‐T‐481: Computerized Implementation of Radiation Treatment Planning Directives,Mcshan D.; Kessler M.; Keranen W.; Fraass B.,2009,10.1118/1.3181979
Implementing an HL7 version 3 modeling tool from an Ecore model,Bánfai B.; Ulrich B.; Török Z.; Natarajan R.; Ireland T.,2009,10.3233/978-1-60750-044-5-157
Efficient metadata loading algorithm for generation and parsing of health level 7 version 3 messages,Mehmood Y.; Javed M.Y.; Afzal M.; Ahmad H.F.,2009,10.1109/ICET.2009.5353154
Biomedical data integration - Capturing similarities while preserving disparities,Bianchi S.; Burla A.; Conti C.; Farkash A.; Kent C.; Maman Y.; Shabo A.,2009,10.1109/IEMBS.2009.5332650
Semantic warehousing of diverse biomedical information,Bianchi S.; Burla A.; Conti C.; Farkash A.; Kent C.; Maman Y.; Shabo A.,2009,10.1007/978-3-642-04941-5_9
HL7v3 CDA Rel.2 prescription: Localization experience and GP integration project,Calamai R.; Giarré L.,2010,10.1109/WHCM.2010.5441273
Challenges of interoperability using HL7 v3 in Czech healthcare,Nagy M.; Preckova P.; Seidl L.; Zvarova J.,2010,10.3233/978-1-60750-563-1-122
"Bridging the semantics gap between terminologies, ontologies, and information models",Schulz S.; Schober D.; Daniel C.; Jaulent M.-C.,2010,10.3233/978-1-60750-588-4-1000
A model-driven approach for biomedical data integration,Carlson D.; Farkash A.; Timm J.T.E.,2010,10.3233/978-1-60750-588-4-1164
