Authors,Publication Year,DOI
D. Bender; K. Sartipi,2013,10.1109/CBMS.2013.6627810
S. Gaion; S. Mininel; F. Vatta; W. Ukovich,2010,10.1109/WHCM.2010.5441265
M. Yuksel; A. Dogac,2011,10.1109/TITB.2011.2151868
T. M. Alenazi; A. A. Alhamed,2015,10.1109/ICHI.2015.93
M. Alam; M. Hussain; M. Afzal; M. Maqbool; H. F. Ahmad; S. Razzaq,2011,10.1109/ISADS.2011.62
M. I. Sabar; P. M. Jayaweera; E. A. T. A. Edirisuriya,2015,10.1109/ICTER.2015.7377675
T. Namli; G. Aluc; A. Dogac,2009,10.1109/TITB.2009.2016086
X. Lu; Y. Gu; J. Zhao; N. Yu; W. Jia,2011,10.1109/CSSS.2011.5974909
N. K. Janjua; M. Hussain; M. Afzal; H. F. Ahmad,2009,10.1109/DEST.2009.5276681
Y. Mehmood; M. Y. Javed; M. Afzal; H. F. Ahmad,2009,10.1109/ICET.2009.5353154
M. Pascale; M. Roselli; U. Rugani; C. Bartolini; A. Bertolino; F. Lonetti; E. Marchetti; A. Polini,2009,10.1109/ICSE-COMPANION.2009.5070974
D. Chen; Y. Chen; B. N. Brownlow; P. P. Kanjamala; C. A. G. Arredondo; B. L. Radspinner; M. A. Raveling,2017,10.1109/TII.2016.2645606
Der-Ming Liou; Ean-Wen Huang; Tsong-Tai Chen; Sheng-Hsiung Hsiao,2000,10.1109/ITAB.2000.892415
M. Krol; D. L. Reich,1998,10.1109/CBMS.1998.701221
M. Mercorella; M. Ciampi; M. Esposito; A. Esposito; G. De Pietro,2016,10.1109/SITIS.2016.99
Y. J. Chang; J. S. Lai; P. H. Cheng; F. Lai,2007,10.1109/HEALTH.2007.381593
G. C. Lamprinakos; A. S. Mousas; A. P. Kapsalis; D. I. Kaklamani; I. S. Venieris; A. D. Boufis; P. D. Karmiris; S. G. Mantzouratos,2014,10.4108/Mobihealth33544.2014.7015927
R. Noumeir; J. -F. Pambrun,2010,10.1109/ITAB.2010.5687707
A. Melament; Y. Peres; E. Vitkin; I. Kostirev; N. Shmueli; L. Sangiorgi; M. Mordenti; S. D'Ascia,2011,10.1109/SRII.2011.19
H. S. Santos; O. O. Dutra; E. M. Moreira; L. H. C. Ferreira,2017,10.1109/MeMeA.2017.7985878
A. L. Menezes; C. E. Cirilo; J. L. C. de Moraes; W. L. de Souza; A. F. do Prado,2010,10.1109/CBMS.2010.6042677
M. P. Luz; J. Rocha de Matos Nogueira; L. T. Cavalini; T. W. Cook,2015,10.1109/ICHI.2015.74
A. Rico-Diez; S. Aso; D. Perez-Rey; R. Alonso-Calvo; A. Bucur; B. Claerhout; V. Maojo,2013,10.1109/BIBE.2013.6701688
P. Tantatsanawong; P. U-Aroon,2011,10.1109/SRII.2011.21
A. Mazzarisi; P. Marcheschi; S. Dalmiani; P. Marraccini; U. Startari; M. Piacenti,2004,10.1109/CIC.2004.1443016
I. A. Juárez; L. D. Nicanor; J. A. De la Vega; J. E. M. Hernández,2022,10.1109/CIMPS57786.2022.10035566
S. Ariyanti; Kautsarina,2018,10.1109/TENCONSpring.2018.8691998
G. Djukic; P. Marraccini; A. Mazzarisi; P. Marcheschi; A. Benassi,2004,10.1109/CIC.2004.1443004
J. H. Yun; I. K. Kim,2007,10.1109/ICCIT.2007.102
S. Bianchi; A. Burla; C. Conti; A. Farkash; C. Kent; Y. Maman; A. Shabo,2009,10.1109/IEMBS.2009.5332650
J. Voos; G. Riva; C. Zerbini; C. Centeno; E. Gonzalez,2010,10.1109/IEMBS.2010.5627666
R. Calamai; L. Giarré,2010,10.1109/WHCM.2010.5441273
G. A. Lewis; E. Morris; S. Simanta; L. Wrage,2008,10.1109/ICCBSS.2008.25
A. Minutolo; A. Esposito; M. Ciampi; M. Esposito; G. Cassetti,2014,10.1109/3PGCIC.2014.88
S. Baird; S. Dawson-Haggerty; D. Myung; M. Gaynor; M. Welsh; S. Moulton,2006,10.1109/BSN.2006.18
C. E. Chronaki; F. Chiarugi; R. Fischer,2006,
M. Koncar; G. Mrkonjic; S. Tonkovic,2006,10.1109/ELMAR.2006.329569
R. Rehman; M. Halai,2011,10.1109/INMIC.2011.6151517
K. Sartipi; M. H. Yarmand,2008,10.1109/ICSM.2008.4658067
A. Dehmoobad; K. Sartipi,2008,10.1109/APSCC.2008.132
H. Jin; A. Sun; R. Zheng; R. He; Q. Zhang,2007,10.1109/CCGRID.2007.77
P. Jayaratna; K. Sartipi,2009,10.1109/ICCME.2009.4906662
R. Calamai; L. Giarré,2010,10.1109/ICSMC.2010.5642223
