Title,Authors,Publication Year,DOI
Standardizing intensive care device data to enable secondary usages,"Ingenerf J, Kock AK, Poelker M, Seidl K, Zeplin G, Mersmann S, Handels H.",2012,
Modeling problem-oriented clinical notes,"Cillessen FH, de Vries Robbé PF.",2012,10.3414/ME11-01-0064
Simplifying HL7 Version 3 messages,"Worden R, Scott P.",2011,
Implementing the HL7v3 standard in Croatian primary healthcare domain,Koncar M.,2004,
Exchanging care records using HL7 V3 care provision messages,"Goossen W, Langford LH.",2014,10.1136/amiajnl-2013-002264
Does HL7 Go towards an Architecture Standard?,"Oemig F, Blobel B.",2005,
Standard Health Level Seven for Odontological Digital Imaging,"Abril-Gonzalez M, Portilla FA, Jaramillo-Mejia MC.",2017,10.1089/tmj.2015.0251
HL7 version 3--an object-oriented methodology for collaborative standards development,Beeler GW.,1998,10.1016/s1386-5056(97)00121-4
Implementing a new ADT based on the HL7 version 3 RIM,"Spahni S, Lovis C, Mercille R, Verdel H, Cotten M, Geissbühler A.",2007,10.1016/j.ijmedinf.2006.05.006
Enabling semantic interoperability in multi-centric clinical trials on breast cancer,"Alonso-Calvo R, Perez-Rey D, Paraiso-Medina S, Claerhout B, Hennebert P, Bucur A.",2015,10.1016/j.cmpb.2015.01.003
Semantic interoperability in Czech healthcare environment supported by HL7 version 3,"Nagy M, Hanzlícek P, Precková P, Ríha A, Dioszegi M, Seidl L, Zvárová J.",2010,10.3414/ME09-02-0018
Information Architecture for Perinatal Registration in the Netherlands,"Goossen WT, Arns-Schiere AM.",2017,10.1016/j.jogn.2016.11.011
Towards a Generic Connection of EHR and DSS,"van der Linden H, Diepen S, Boers G, Tange H, Talmon J.",2005,
The architecture of sharing. An HL7 Version 3 framework offers semantically interoperable healthcare information,"Jones TM, Mead CN.",2005,
δ-dependency for privacy-preserving XML data publishing,"Landberg AH, Nguyen K, Pardede E, Rahayu JW.",2014,10.1016/j.jbi.2014.01.013
Interface analysis between GSVML and HL7 version 3,"Hiroi K, Ido K, Yang W, Nakaya J.",2007,10.1016/j.jbi.2006.12.006
A communication standards ontology using basic formal ontologies,"Oemig F, Blobel B.",2010,
Information persistence services designed to support home care,"Rocha NP, Queirós A, Augusto F, Rodríguez YL, Cardoso C, Grade JM, Quintas J.",2015,10.2196/medinform.3699
Proposed model for a Romanian register of chronic diseases in children,"Gabor-Harosa FM, Stan OP, Daina L, Mocean F.",2016,10.1016/j.cmpb.2016.01.022
The HL7 Clinical Document Architecture,"Dolin RH, Alschuler L, Beebe C, Biron PV, Boyer SL, Essin D, Kimber E, Lincoln T, Mattison JE.",2001,10.1136/jamia.2001.0080552
"HL7 version 3.0: a preview for CIOs, managers, and programmers",Kurtz M.,2002,
Querying clinical data in HL7 RIM based relational model with morph-RDB,"Priyatna F, Alonso-Calvo R, Paraiso-Medina S, Corcho O.",2017,10.1186/s13326-017-0155-8
Implementing an HL7 version 3 modeling tool from an Ecore model,"Bánfai B, Ulrich B, Török Z, Natarajan R, Ireland T.",2009,
