Title,Authors,Publication Year,DOI
Interoperability of medical device information and the clinical applications: An HL7 RMIM based on the ISO/IEEE 11073 DIM,Yuksel M.; Dogac A.,2011,10.1109/TITB.2011.2151868
Towards standards based health data extraction facilitating process mining,Helm E.; Franz B.; Schuler A.; Krauss O.; Küng J.,2017,
Using FHIR to develop a healthcare mobile application,Lamprinakos G.C.; Mousas A.S.; Kapsalis A.P.; Kaklamani D.I.; Venieris I.S.; Boufis A.D.; Karmiris P.D.; Mantzouratos S.G.,2015,10.1109/MOBIHEALTH.2014.7015927
Comparing the apgar score representation in HL7 and OpenEHR formalisms,Cuggia M.; Bayat S.; Rossille D.; Poulain P.; Pladys P.; Robert H.; Duvauferrier R.,2009,10.3233/978-1-60750-044-5-250
Graciously handling a level of change in a complex specification: Configuration management for community-scale implementation of an HL7v3 messaging specification,McCay C.; Odling-Smee M.; Waller J.; Wrightson A.,2009,10.4242/BalisageVol3.Wrightson01
Personalized message routing policy in pervasive eHealth applications based on HL7 RIM,Guizani N.; Fayn J.,2015,10.3233/978-1-61499-516-6-265
Autonomous mapping of HL7 RIM and relational database schema,Umer S.; Afzal M.; Hussain M.; Latif K.; Ahmad H.F.,2012,10.1007/s10796-011-9309-x
New approach to an openEHR introduction in a portuguese healthcare facility,Oliveira D.; Coimbra A.; Miranda F.; Abreu N.; Leuschner P.; Machado J.; Abelha A.,2018,10.1007/978-3-319-77700-9_21
Tool-assisted healthcare knowledge to HL7 message translation,Jayaratna P.; Sartipi K.,2009,10.1109/ICCME.2009.4906662
R2RML-based access and querying to relational clinical data with morph-RDB,Priyatna F.; Calvo R.A.; Paraiso-Medina S.; Padron-Sanchez G.; Corcho O.,2015,
Design and implementation of synoptic operative report template using interoperable standards,Bonney W.; Christie S.; Paterson G.; Thibault-Halman G.; Alsulaiman A.,2013,10.3233/978-1-61499-203-5-195
Finnish national archive of health information (KanTa): General concepts and information model,Suna T.,2011,
Research and implementation of medical information format conversion based on HL7 Version 2.x,Lu X.; Gu Y.; Zhao J.; Yu N.; Jia W.,2011,10.1109/CSSS.2011.5974909
Low level communication management for e-health systems,Riva G.; Zerbini C.; Voos J.; Centeno C.; González E.,2011,10.1088/1742-6596/332/1/012052
Proposed model for a Romanian register of chronic diseases in children,Gabor-Harosa F.M.; Stan O.P.; Daina L.; Mocean F.,2016,10.1016/j.cmpb.2016.01.022
Representing the glasgow coma scale in IT: Proper specification is required for assessment scales,Goossen W.; Oemig F.,2014,10.3233/978-1-61499-393-3-42
A model-driven approach for biomedical data integration,Carlson D.; Farkash A.; Timm J.T.E.,2010,10.3233/978-1-60750-588-4-1164
An ontology architecture for HL7 V3: Pitfalls and outcomes,Oemig F.; Blobel B.,2009,10.1007/978-3-642-03893-8_118
A Proposed the Internet of Things (IoT) Framework for Health Sector in Indonesia,Ariyanti S.; Kautsarina,2018,10.1109/TENCONSpring.2018.8691998
A SOA-Based solution to monitor vaccination coverage among HIV-Infected patients in liguria,Giannini B.; Gazzarata R.; Sticchi L.; Giacomini M.,2017,10.3233/978-1-61499-678-1-327
