Authors,Publication Year,DOI
R. Zhang; C. Chow; L. C. K. Hui,2017,10.1109/ISPAN-FCST-ISCC.2017.56
G. M. Bacelar-Silva; R. F. Sousa-Santos; R. J. Cruz-Correia,2013,10.1109/CBMS.2013.6627816
Y. Yang; H. Xu; B. Qi; X. Niu; M. Li; D. Zhao,2020,10.1109/BIBM49941.2020.9313127
J. D. Trigo; C. D. Kohl; A. Eguzkiza; M. Martínez-Espronceda; Á. Alesanco; L. Serrano; J. García; P. Knaup,2014,10.1109/JBHI.2013.2285441
P. Alves Maranhão; G. M. Bacelar-Silva; D. N. Gonçalves-Ferreira; C. Calhau; P. Vieira-Marques; M. Alvarenga; R. J. Cruz-Correia,2018,10.1109/CBMS.2018.00014
H. Köstinger; M. Gobber; T. Grechenig; B. Tappeiner; W. Schramm,2013,10.1109/PHT.2013.6461313
P. A. Maranhão; G. M. Bacelar-Silva; D. N. Gonçalves-Ferreira; P. Vieira-Marques; R. J. Cruz-Correia,2017,10.1109/CBMS.2017.96
L. F. Reis; D. G. Ferreira; P. A. Maranhao; R. Cruz-Correia; P. Vieira-Marques,2018,10.23919/CISTI.2018.8399258
Y. Zhu; X. Jin; L. Li,2019,10.1109/ITME.2019.00019
P. R. Silva-Ferreira; P. M. Vieira-Marques; J. H. Patriarca-Almeida; R. J. Cruz-Correia,2012,
G. M. Bacelar-Silva; H. César; P. Braga; R. Guimarães,2013,10.1109/CBMS.2013.6627881
F. Gomes; R. Freitas; M. Ribeiro; C. Moura; O. Andrade; M. Oliveira,2019,10.1109/HealthCom46333.2019.9009602
W. A. Khan; M. Hussain; M. Afzal; M. B. Amin; S. Lee,2012,10.1109/EMBC.2012.6346170
S. A. Barretto; J. Warren; A. Goodchild,2004,10.1109/HICSS.2004.1265353
A. Muslim; S. Puspitodjati; A. Benny Mutiara; T. Oswari,2017,10.1109/IAC.2017.8280571
J. Faber,2012,10.1109/SEHC.2012.6227002
L. Xiao; G. Cousins; L. Hederman; T. Fahey; B. Dimitrov,2010,10.1109/BMEI.2010.5639694
F. Gomes; J. Paiva; A. Bezerra; C. Moura; M. Oliveira; O. Andrade,2018,10.1109/HealthCom.2018.8531096
H. Kashfi,2011,
I. Macía,2014,10.1109/HealthCom.2014.7001900
P. Vieira-Marques; J. Patriarca-Almeida; S. Frade; G. Bacelar-Silva; S. Robles; R. Cruz-Correia,2014,10.1109/CISTI.2014.6876864
J. L. C. de Moraes; W. L. de Souza; L. F. Pires; L. T. Cavalini; A. Francisco do Prado,2013,10.1109/AICCSA.2013.6616507
E. Osório; L. Ferreira; R. Abreu; F. Sousa,2013,10.1109/HealthCom.2013.6720707
J. V. d. A. Silva; A. Araújo,2024,10.1109/ACCESS.2024.3496293
F. Kallel; A. S. Ellouze; R. Bouaziz,2011,10.1109/DeSE.2011.58
S. Frade; S. M. Freire; E. Sundvall; J. H. Patriarca-Almeida; R. Cruz-Correia,2013,10.1109/CBMS.2013.6627806
