Title,Authors,Publication Year,DOI
A survey of openEHR Clinical Data Repositories,"Delussu G, Frexia F, Mascia C, Sulis A, Meloni V, Del Rio M, Lianas L.",2024,10.1016/j.ijmedinf.2024.105591
Archetype modeling methodology,"Moner D, Maldonado JA, Robles M.",2018,10.1016/j.jbi.2018.02.003
openEHR Is FAIR-Enabling by Design,"Frexia F, Mascia C, Lianas L, Delussu G, Sulis A, Meloni V, Del Rio M, Zanetti G.",2021,10.3233/SHTI210131
openEHR Based Contextual Problem List,"Meredith J, McNicoll I, Whitehead N, Dacey M.",2021,10.3233/SHTI210209
ORBDA: An openEHR benchmark dataset for performance assessment of electronic health record servers,"Teodoro D, Sundvall E, João Junior M, Ruch P, Miranda Freire S.",2018,10.1371/journal.pone.0190028
An openEHR Virtual Patient Template for Pancreatic Cancer,"Alkarkoukly S, Rajput AM.",2021,10.3233/SHTI210618
Performance of an openEHR based hospital information system,"Kryszyn J, Cywoniuk K, Smolik WT, Wanta D, Wróblewski P, Midura M.",2022,10.1016/j.ijmedinf.2022.104757
OpenEHR Implementation Guide: Towards Standard Low-Code Healthcare Systems,"Frade S, Beale T, Cruz-Correia RJ.",2022,10.3233/SHTI220030
openEHR Mapper - A Tool to Fuse Clinical and Genomic Data Using the openEHR Standard,"Reimer N, Ulrich H, Busch H, Kock-Schoppenhauer AK, Ingenerf J.",2021,10.3233/SHTI210055
OpenEHR and General Data Protection Regulation: Evaluation of Principles and Requirements,"Gonçalves-Ferreira D, Sousa M, Bacelar-Silva GM, Frade S, Antunes LF, Beale T, Cruz-Correia R.",2019,10.2196/medinform.9845
Representation of Diagnosis and Nursing Interventions in OpenEHR Archetypes,"Gomes DC, Abreu N, Sousa P, Moro C, Carvalho DR, Cubas MR.",2021,10.1055/s-0041-1728706
Application of the openEHR reference model for PGHD: A case study on the DH-Convener initiative,"Abedian S, Hanke S, Hussein R.",2025,10.1016/j.ijmedinf.2024.105686
OpenEHR modeling for genomics in clinical practice,"Mascia C, Uva P, Leo S, Zanetti G.",2018,10.1016/j.ijmedinf.2018.10.007
openEHR Archetype Use and Reuse Within Multilingual Clinical Data Sets: Case Study,Leslie H.,2020,10.2196/23361
The openEHR Genomics Project,"Mascia C, Frexia F, Uva P, Zanetti G, Pireddu L, Giacomelli G, Jaeger-Schmidt C, Tomczak A, Schumacher S, Kraecher F, Eils R, Ljosland Bakke S, Leslie H.",2020,10.3233/SHTI200199
openEHR Based Systems and the General Data Protection Regulation (GDPR),"Sousa M, Ferreira D, Santos-Pereira C, Bacelar G, Frade S, Pestana O, Cruz-Correia R.",2018,
openEHR-to-FHIR: Converting openEHR Compositions to Fast Healthcare Interoperability Resources (FHIR) for the German Corona Consensus Dataset (GECCO),"Ladas N, Franz S, Haarbrandt B, Sommer KK, Kohler S, Ballout S, Fiebeck J, Marschollek M, Gietzelt M.",2022,10.3233/SHTI210963
From OpenEHR to FHIR and OMOP Data Model for Microbiology Findings,"Rinaldi E, Thun S.",2021,10.3233/SHTI210189
The openEHR Foundation,"Kalra D, Beale T, Heard S.",2005,
Prediction of COVID-19 diagnosis based on openEHR artefacts,"Oliveira D, Ferreira D, Abreu N, Leuschner P, Abelha A, Machado J.",2022,10.1038/s41598-022-15968-z
OpenEHR modeling: improving clinical records during the COVID-19 pandemic,"Oliveira D, Miranda R, Leuschner P, Abreu N, Santos MF, Abelha A, Machado J.",2021,10.1007/s12553-021-00556-4
Translating openEHR Models to FHIR,"Fette G, Ertl M, Störk S.",2020,10.3233/SHTI200469
Transformation of microbiology data into a standardised data representation using OpenEHR,"Wulff A, Baier C, Ballout S, Tute E, Sommer KK, Kaase M, Sargeant A, Drenkhahn C; Infection Control Study Group; Schlüter D, Marschollek M, Scheithauer S.",2021,10.1038/s41598-021-89796-y
Eos and OMOCL: Towards a seamless integration of openEHR records into the OMOP Common Data Model,"Kohler S, Boscá D, Kärcher F, Haarbrandt B, Prinz M, Marschollek M, Eils R.",2023,10.1016/j.jbi.2023.104437
Standardizing Corneal Transplantation Records Using openEHR: Case Study,"Ferreira D, Neto C, Hak F, Abelha A, Santos M, Machado J.",2024,10.2196/48407
Modeling healthcare authorization and claim submissions using the openEHR dual-model approach,"Dias RD, Cook TW, Freire SM.",2011,10.1186/1472-6947-11-60
Mapping of OpenEHR Archetypes to FHIR Resources in Use Case Oncology,"Rajput AM, Brakollari I.",2021,10.3233/SHTI210616
Modeling EHR with the openEHR approach: an exploratory study in China,"Min L, Tian Q, Lu X, Duan H.",2018,10.1186/s12911-018-0650-6
Modeling of ETL-Processes and Processed Information in Clinical Data Warehousing,"Tute E, Steiner J.",2018,
Designing an openEHR-Based Pipeline for Extracting and Standardizing Unstructured Clinical Data Using Natural Language Processing,"Wulff A, Mast M, Hassler M, Montag S, Marschollek M, Jack T.",2020,10.1055/s-0040-1716403
A method for interoperable knowledge-based data quality assessment,"Tute E, Scheffner I, Marschollek M.",2021,10.1186/s12911-021-01458-1
A Patient-Screening Tool for Clinical Research Based on Electronic Health Records Using OpenEHR: Development Study,"Li M, Cai H, Nan S, Li J, Lu X, Duan H.",2021,10.2196/33192
An OpenEHR Template with the Integrated German LOINC Terms,"Rajput AM, Alkarkoukly S.",2021,10.3233/SHTI210371
Nursing Informatics Integration into Mainstream Health Informatics,Hovenga EJS.,2022,10.3233/SHTI220947
Mapping a Nursing Terminology Subset to openEHR Archetypes. A Case Study of the International Classification for Nursing Practice,"Nogueira JR, Cook TW, Cavalini LT.",2015,10.3414/ME14-01-0053
Applying an Archetype-Based Approach to Electroencephalography/Event-Related Potential Experiments in the EEGBase Resource,"Papež V, Mouček R.",2017,10.3389/fninf.2017.00024
Cloud architecture for electronic health record systems interoperability,"Gómez D, Romero J, López P, Vázquez J, Cappo C, Pinto D, Villalba C.",2022,10.3233/THC-212806
Generation of openEHR Test Datasets for Benchmarking,"El Helou S, Karvonen T, Yamamoto G, Kume N, Kobayashi S, Kondo E, Hiragi S, Okamoto K, Tamura H, Kuroda T.",2017,
Using NLP in openEHR archetypes retrieval to promote interoperability: a feasibility study in China,"Sun B, Zhang F, Li J, Yang Y, Diao X, Zhao W, Shu T.",2021,10.1186/s12911-021-01554-2
A configurable method for clinical quality measurement through electronic health records based on openEHR and CQL,"Li M, Cai H, Zhi Y, Fu Z, Duan H, Lu X.",2022,10.1186/s12911-022-01763-3
Nutrigenomic Information in the openEHR Data Set,"Maranhão PA, Bacelar-Silva GM, Ferreira DNG, Calhau C, Vieira-Marques P, Cruz-Correia RJ.",2018,10.1055/s-0038-1635115
Digital Analysis of Clinical Screening Criteria for a Rare Disease - Behcet's Disease,"Tapuria A, Kalra D, Curcin V.",2023,10.3233/SHTI230527
Evaluation of openEHR Repositories Regarding Standard Compliance,"Fechner M, Brix TJ, Hardt T, Oehm J, Dugas M, Storck M.",2020,10.3233/SHTI200229
Development of an openEHR Template for COVID-19 Based on Clinical Guidelines,"Li M, Leslie H, Qi B, Nan S, Feng H, Cai H, Lu X, Duan H.",2020,10.2196/20239
Management of a Pandemic Based on an openEHR approach,"Oliveira D, Miranda R, Abreu N, Leuschner P, Abelha A, Santos M, Machado J.",2020,10.1016/j.procs.2020.10.072
Extending CQL with openEHR to Express Clinical Quality Indicators,"Li M, Zhi Y, Lu X, Cai H.",2019,10.3233/SHTI190681
Achieving Interoperable Datasets in Pediatrics: A Data Integration Approach,"Bode L, Mast M, Rathert H, Elise Study Group, Jack T, Wulff A.",2023,10.3233/SHTI230496
The Contextualization of Archetypes: Clinical Template Governance,"Pedersen R, Ulriksen GH, Ellingsen G.",2015,
Integrating an openEHR-based personalized virtual model for the ageing population within HBase,"Kalogiannis S, Deltouzos K, Zacharaki EI, Vasilakis A, Moustakas K, Ellul J, Megalooikonomou V.",2019,10.1186/s12911-019-0745-8
Archetype-based conversion of EHR content models: pilot experience with a regional EHR system,"Chen R, Klein GO, Sundvall E, Karlsson D, Ahlfeldt H.",2009,10.1186/1472-6947-9-33
Using openEHR in XDS.b Environments - Opportunities and Challenges,"Wettstein R, Merzweiler A, Klass M, Heinze O.",2020,10.3233/SHTI200554
OpenEHR-based representation of guideline compliance data through the example of stroke clinical practice guidelines,"Anani N, Chen R, Prazeres Moreira T, Koch S.",2012,
Query Translation Between AQL and CQL,"Fette G, Kaspar M, Liman L, Ertl M, Krebs J, Dietrich G, Störk S, Puppe F.",2019,10.3233/SHTI190197
Using openEHR Archetypes for Automated Extraction of Numerical Information from Clinical Narratives,"Zubke M, Bott OJ, Marschollek M.",2019,10.3233/SHTI190820
Semantic Mapping of Named-Entities in openEHR Templates and Ad-hoc Generation of Compositions,"Ladas N, Franz S, Wolff D, Rehberg A, Marschollek M, Gietzelt M.",2024,10.3233/SHTI240371
An exploratory study using an openEHR 2-level modeling approach to represent common data elements,"Lin CH, Fann YC, Liou DM.",2016,10.1093/jamia/ocv137
"Open Source Digital Health Software for Resilient, Accessible and Equitable Healthcare Systems","Paton C, Braa J, Muhire A, Marco-Ruiz L, Kobayashi S, Fraser H, Falcón L, Marcelo A.",2022,10.1055/s-0042-1742508
Can openEHR Represent the Clinical Concepts of an Obstetric-Specific EHR - ObsCare Software?,"Alves DS, Maranhão PA, Pereira AM, Bacelar-Silva GM, Silva-Costa T, Beale TW, Cruz-Correia RJ.",2019,10.3233/SHTI190328
Technologies for Interoperable Internet of Medical Things Platforms to Manage Medical Emergencies in Home and Prehospital Care: Scoping Review,"Seth M, Jalo H, Högstedt Å, Medin O, Sjöqvist BA, Candefjord S.",2025,10.2196/54470
Achieving Interoperability Between Arden-Syntax-Based Clinical Decision Support and openEHR-Based Data Systems,"Spineth M, Rappelsberger A, Adlassnig KP.",2018,
Interoperable Universal Resource Identifier for Selective Disclosure of Data,"Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.",2023,10.3233/SHTI230465
Aligning Semantic Interoperability Frameworks with the FOXS Stack for FAIR Health Data,"Meredith J, Whitehead N, Dacey M.",2023,10.1055/a-1993-8036
Supporting openEHR Java desktop application developers,"Kashfi H, Torgersson O.",2011,
"Harvesting metadata in clinical care: a crosswalk between FHIR, OMOP, CDISC and openEHR metadata","Bönisch C, Kesztyüs D, Kesztyüs T.",2022,10.1038/s41597-022-01792-7
Applying representational state transfer (REST) architecture to archetype-based electronic health record systems,"Sundvall E, Nyström M, Karlsson D, Eneling M, Chen R, Örman H.",2013,10.1186/1472-6947-13-57
ETL Processes for Integrating Healthcare Data - Tools and Architecture Patterns,"Cheng KY, Pazmino S, Schreiweis B.",2022,10.3233/SHTI220974
Federated Electronic Health Records Using a Blockchain,"Chelsom J, Marco-Ruiz L, Skeidsvoll Solvang Ø, Cassidy S, Lintvedt O, Granja C, Solvoll T.",2024,10.3233/SHTI240630
Role of OpenEHR as an open source solution for the regional modelling of patient data in obstetrics,"Pahl C, Zare M, Nilashi M, de Faria Borges MA, Weingaertner D, Detschew V, Supriyanto E, Ibrahim O.",2015,10.1016/j.jbi.2015.04.004
Handling Time Constraints in Infection Clinical Pathways Using openEHR TP,"Iglesias N, Juarez JM, Campos M.",2022,10.3233/SHTI220021
The openEHR Java reference implementation project,"Chen R, Klein G.",2007,
An interoperable clinical decision-support system for early detection of SIRS in pediatric intensive care using openEHR,"Wulff A, Haarbrandt B, Tute E, Marschollek M, Beerbaum P, Jack T.",2018,10.1016/j.artmed.2018.04.012
Application of openEHR archetypes to automate data quality rules for electronic health records: a case study,"Tian Q, Han Z, Yu P, An J, Lu X, Duan H.",2021,10.1186/s12911-021-01481-2
Automated population of an i2b2 clinical data warehouse from an openEHR-based data repository,"Haarbrandt B, Tute E, Marschollek M.",2016,10.1016/j.jbi.2016.08.007
An HL7 FHIR and GraphQL approach for interoperability between heterogeneous Electronic Health Record systems,"Mukhiya SK, Lamo Y.",2021,10.1177/14604582211043920
Improving Healthcare Quality with a LHS: From Patient-Generated Health Data to Evidence-Based Recommendations,"Santos RL, Cruz-Correia R.",2024,10.3233/SHTI240387
Large-Scale Standardized Image Integration for Secondary Use Research Projects,"Ulrich H, Anywar M, Kinast B, Schreiweis B.",2024,10.3233/SHTI230950
An Architecture for Semantically Interoperable Electronic Health Records,"Toffanello A, Gonçalves R, Kitajima A, Puttini R, Aguiar A.",2017,
Building Chronic Kidney Disease Clinical Practice Guidelines Using the openEHR Guideline Definition Language,"Lin CH, Lo YC, Hung PY, Liou DM.",2016,10.3414/ME16-01-0005
Nutrition Information in Oncology - Extending the Electronic Patient-Record Data Set,"Maranhão PA, Pereira AM, Calhau C, Ravasco P, Bozzetti F, Laviano A, Isenring L, Bandera EV, B Huhmann M, Vieira-Marques P, Cruz-Correia RJ.",2020,10.1007/s10916-020-01649-9
Can openEHR Archetypes Empower Multi-Centre Clinical Research?,"Garde S, Knaup P, Schuler T, Hovenga E.",2005,
Business Process Model and Notation and openEHR Task Planning for Clinical Pathway Standards in Infections: Critical Analysis,"Iglesias N, Juarez JM, Campos M.",2022,10.2196/29927
Clinical Knowledge Governance Framework for Nationwide Data Infrastructure Projects,"Wulff A, Haarbrandt B, Marschollek M.",2018,
An openEHR based approach to improve the semantic interoperability of clinical data registry,"Min L, Tian Q, Lu X, An J, Duan H.",2018,10.1186/s12911-018-0596-8
Clinical data interoperability based on archetype transformation,"Costa CM, Menárguez-Tortosa M, Fernández-Breis JT.",2011,10.1016/j.jbi.2011.05.006
Challenges in Design and Creation of Genetic openEHR-Archetype,"Maranhão PA, Bacelar-Silva G, Gonçalves-Ferreira D, Vieira-Marques P, Cruz-Correia R.",2018,
Integration of Oncological Data into openEHR: A Path Towards Improved Cancer Care and Research,"Schladetzky J, Reimer N, Nicolaus H, Busch H, Schreiweis B, Kock-Schoppenhauer AK.",2024,10.3233/SHTI240655
Strategies and Recommendation for Data Loading of FHIR-Based Data Marts with Focus on GDPR Compliance,"Anywar M, Schreiweis B, Ulrich H.",2022,10.3233/SHTI220921
Toward a Model for Personal Health Record Interoperability,"Roehrs A, da Costa CA, Righi RDR, Rigo SJ, Wichman MH.",2019,10.1109/JBHI.2018.2836138
Structured Queries to AQL: Querying OpenEHR Data Leveraging a FHIR-Based Infrastructure for Federated Feasibility Queries,"Rosenau L, Ingenerf J.",2024,10.3233/SHTI230922
Tracing the Progression of Sepsis in Critically Ill Children: Clinical Decision Support for Detection of Hematologic Dysfunction,"Bode L, Schamer S, Böhnke J, Bott OJ, Marschollek M, Jack T, Wulff A; ELISE Study Group.",2022,10.1055/a-1950-9637
"Can OpenEHR, ISO 13606, and HL7 FHIR Work Together? An Agnostic Approach for the Selection and Application of Electronic Health Record Standards to the Next-Generation Health Data Spaces","Pedrera-Jiménez M, García-Barrio N, Frid S, Moner D, Boscá-Tomás D, Lozano-Rubí R, Kalra D, Beale T, Muñoz-Carrero A, Serrano-Balazote P.",2023,10.2196/48702
National governance of archetypes in Norway,Ljosland Bakke S.,2015,
Archetype-based electronic health records: a literature review and evaluation of their applicability to health data interoperability and access,"Wollersheim D, Sari A, Rahayu W.",2009,10.1177/183335830903800202
Case Study: Applying OpenEHR Archetypes to a Clinical Data Repository in a Chinese Hospital,"Min L, Wang L, Lu X, Duan H.",2015,
Tracing COVID-19 Infection Chains Within Healthcare Institutions - Another Brick in the Wall Against SARS-CoV-2,"Wulff A, Biermann P, von Landesberger T, Baumgartl T, Schmidt C, Alhaji AY, Schick K, Waldstein P, Zhu Y; HiGHmed Infection Control Study Group; Krefting D, Scheithauer S, Marschollek M.",2022,10.3233/SHTI220168
Facilitating secondary use of medical data by using openEHR archetypes,"Kohl CD, Garde S, Knaup P.",2010,
Verifying the Feasibility of Implementing Semantic Interoperability in Different Countries Based on the OpenEHR Approach: Comparative Study of Acute Coronary Syndrome Registries,"Min L, Atalag K, Tian Q, Chen Y, Lu X.",2021,10.2196/31288
