"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Crypt-EHRServer: Protecting Confidentiality with Attribute-Based Encryption and Encrypted Query Processing","R. Zhang; C. Chow; L. C. K. Hui","Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science, The University of Hong Kong, Hong Kong; Department of Computer Science, The University of Hong Kong, Hong Kong","2017 14th International Symposium on Pervasive Systems, Algorithms and Networks & 2017 11th International Conference on Frontier of Computer Science and Technology & 2017 Third International Symposium of Creative Computing (ISPAN-FCST-ISCC)","30 Nov 2017","2017","","","234","241","OpenEHR is an open standard specification for developing flexible electronic health record (EHR) management system. It defines the standard service models and APIs, and offers a whole lifetime data storage method to the patient's record. As an important OpenEHR system component, EHRServer plays the role of back-end services repository for data storage and query. It complies with the openEHR specifications and adopts MySQL database. However, current EHRServer has many limitations. For example, its official requirement stresses that one organization cannot access the EHR owned by other organizations. The original EHRServer database is in plaintext format. It can lead to the risk of electronic record leakage. Encryption is one common protection method, but the current EHRServer APIs do not support encrypted data query. That restricts building EHRServer on the cloud. What's more, the inconvenience of information sharing among different organizations may also hinder the extension of OpenEHR coverage to more domains and countries. To solve the above open problems, in this paper, we explore two approaches which guarantee the security and flexibility of sharing EHR on the cloud and thus propose a new architecture called Crypt-EHRServer. Firstly, we use attribute-based encryption to realize flexible EHR access authority for different authorized organizations. Secondly, we learn from an efficient ciphertext query model, CryptDB, and adopt their onion encryption approach to support standard SQL queries on the encrypted EHR. The result of our work could provide a flexible, scalable and secure EHR system. Crypt-EHRServer will benefit OpenEHR's widespread adoption in the world, and will also arouse people's awareness about incorporating security criteria into the design of electronic health records management systems.","2375-527X","978-1-5386-0840-1","10.1109/ISPAN-FCST-ISCC.2017.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121778","Attribute Based Encryption;Open EHR;Searchable Encryption;CryptDB","Encryption;Servers;Standards;Databases;Keyword search","","2","","30","IEEE","30 Nov 2017","","","IEEE","IEEE Conferences"
"Creating openEHR content to different moments of care: Obstetrics emergency scenario","G. M. Bacelar-Silva; R. F. Sousa-Santos; R. J. Cruz-Correia","Center for Research in Health Technologies and Information Systems, Porto, Portugal; Centro Hospitalar do Alto Ave Guimarães, Guimaraes, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal",Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems,"10 Oct 2013","2013","","","361","364","Introduction: If health information systems used a common reference model to store patient data it would ease health data exchange and achievement of semantic interoperability. Aim: To describe the process and the issues related to developing openEHR content to be used during different moments in the Obstetrics scenario, namely to retrieve patient's data. Methods: It was conducted a search on two major repositories - openEHR and National E-Health Transition Authority (NEHTA) - for archetypes to represent clinical concepts defined in a previous study (Obstetrics Scenario). The better-suited archetypes were chosen to design the templates. Results: 22 clinical concepts were identified and 21 of them could be covered by the archetypes. It was necessary 28 archetypes (23 openEHR / 5 NEHTA) to represent them (13 openEHR / 8 NEHTA). Discussion and Conclusion: This paper demonstrates that it was possible to create an openEHR template to describe the information needs during different moments of an Obstetrics scenario. A possible application is to use them to retrieve patient's data from external systems.","1063-7125","978-1-4799-1053-3","10.1109/CBMS.2013.6627816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6627816","","Interoperability;Medical services;Guidelines;Semantics;Biomedical imaging;Information exchange","","1","","6","IEEE","10 Oct 2013","","","IEEE","IEEE Conferences"
"Stroke screening data modeling based on openEHR and NINDS Stroke CDE","Y. Yang; H. Xu; B. Qi; X. Niu; M. Li; D. Zhao","Information Center, Academy of Military Medical Sciences, Beijing, China; Information Center, Academy of Military Medical Sciences, Beijing, China; Joyrun medical technology Co. Ltd, Hangzhou, China; United Care Technology Co. Ltd, Beijing, China; China Stroke Data Center, Beijing, China; Information Center, Academy of Military Medical Sciences, Beijing, China",2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"13 Jan 2021","2020","","","2147","2152","In order to solve the dispersion and heterogeneity of stroke screening data and to facilitate data collection and sharing, a standardized and sharable stroke screening data model was proposed. We modeled the stroke screening data collaboratively based on the openEHR approach and the National Institute of Neurological Disorders and Stroke (NINDS) Stroke Common Data Elements (CDEs). First, a collaborative modeling group was established consisting of two clinical experts, two informatics experts and two modeling engineers. Then, the official document for Stroke screening issued by China National Health Commission and NINDS Stroke CRF were adopted as the data requirement sources to refine the domain concepts. Based on the domain concepts refined, the Healthcare Modeling Collaboration (HMC) platform was used to develop openEHR archetypes with constraint from NINDS Stroke CDEs. Finally, an openEHR archetype set consisting of 39 archetypes was established, among which 43.6% (17) were directly reused from Clinical Knowledge Manager (CKM), 25.6% (10) were extended and 30.8% (12) were newly created. All of these archetypes attributes were constrained by mapping 358 NINDS Stroke CDEs. After tested in practice, the data model based on openEHR and CDE can meet the need for standardized collection, sharing of stroke screening data with extendibility and interoperability.","","978-1-7281-6215-7","10.1109/BIBM49941.2020.9313127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313127","stroke screening;data modeling;openEHR;CDE","Data models;Stroke (medical condition);Semantics;Collaboration;Standards;Interoperability;Data mining","","4","","18","IEEE","13 Jan 2021","","","IEEE","IEEE Conferences"
"On the Seamless, Harmonized Use of ISO/IEEE11073 and OpenEHR","J. D. Trigo; C. D. Kohl; A. Eguzkiza; M. Martínez-Espronceda; Á. Alesanco; L. Serrano; J. García; P. Knaup","Communications Technologies Group, Aragón Institute of Engineering Research, University of Zaragoza, Zaragoza, Spain; Institute of Medical Biometry and Informatics, University of Heidelberg, Heidelberg, Germany; Signal Theory and Communications Group, Public University of Navarra, Pamplona, Spain; Signal Theory and Communications Group, Public University of Navarra, Pamplona, Spain; Communications Technologies Group, Aragón Institute of Engineering Research, University of Zaragoza, Zaragoza, Spain; Signal Theory and Communications Group, Public University of Navarra, Pamplona, Spain; Communications Technologies Group, Aragón Institute of Engineering Research, University of Zaragoza, Zaragoza, Spain; Institute of Medical Biometry and Informatics, University of Heidelberg, Heidelberg, Germany",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2014","18","3","872","884","Standardized exchange of clinical information is a key factor in the provision of high quality health care systems. In this context, the openEHR specification facilitates the management of health data in electronic health records (EHRs), while the ISO/IEEE11073 (also referred to as X73PHD) family of standards provides a reference framework for medical device interoperability. Hospitals and health care providers using openEHR require flawless integration of data coming from external sources, such as X73PHD. Hence, a harmonization process is crucial for achieving a seamless, coherent use of those specifications in real scenarios. Such harmonization is the aim of this paper. Thus, the classes and attributes of a representative number of X73PHD specializations for medical devices—weight, temperature, blood pressure, pulse and heart rate, oximetry, and electrocardiograph—along with the X73PHD core document—ISO/IEEE11073–20601—have been analyzed and mapped to openEHR archetypes. The proposed methodology reuses the existing archetypes when possible and suggests new ones—or appropriate modifications—otherwise. As a result, this paper analyzes the inconsistencies found and the implications thereof in the coordinated use of these two standards. The procedure has also shown how existing standards are able to influence the archetype development process, enhancing the existing archetype corpus.","2168-2208","","10.1109/JBHI.2013.2285441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6627974","Archetypes;harmonization;ISO/IEEE 11073;openEHR;standards","Biomedical monitoring;ISO standards;Blood pressure;Monitoring;Protocols;ISO","Computer Communication Networks;Electrocardiography;Electronic Health Records;Humans;Medical Informatics Computing;Monitoring, Physiologic;Oximetry;Systems Integration","4","","31","IEEE","10 Oct 2013","","","IEEE","IEEE Journals"
"OpenEHR Modeling Applied to Eating Disorders in Clinical Practice: OpenEHR-Archetypes in Eating Disorders","P. Alves Maranhão; G. M. Bacelar-Silva; D. N. Gonçalves-Ferreira; C. Calhau; P. Vieira-Marques; M. Alvarenga; R. J. Cruz-Correia","Center for Research in Health Technologies and Information Systems (CINTESIS), University of Porto, Portugal; Center for Research in Health Technologies and Information Systems (CINTESIS), University of Porto, Portugal; Center for Research in Health Technologies and Information Systems (CINTESIS), University of Porto, Portugal; Nova Medical School-Faculty of Medical Science, Nova de Lisboa University, Lisbon, Portugal; Nova Medical School-Faculty of Medical Science, Nova de Lisboa University, Lisbon, Portugal; São Paulo University, São Paulo, Brazil; Center for Research in Health Technologies and Information Systems (CINTESIS), University of Porto, Portugal",2018 IEEE 31st International Symposium on Computer-Based Medical Systems (CBMS),"23 Jul 2018","2018","","","36","41","Eating disorders (ED) are described as a broad spectrum of eating-related issues, which include dysfunctional behavior related to dissatisfaction with body shape or size, as well as inadequate eating behavior such as purgative practices, binge eating and dietary restrictions for weight loss and control purposes. ED assessments are carried out through questionnaires/scales focused on ED symptoms. Meanwhile, electronic health records (EHR) should help health professionals to make decisions by providing data to support individual decisions. Aim: The current article aims to present a solution for the integration of ED tools into EHR via openEHR-archetypes and to understand the challenges involving in this process. Methods: This is an exploratory study. The literature review focused on finding the main scales applied to ED screening, which were organized and structured into openEHR-archetypes. The Ocean Archetype Editor software was used as openEHR modeling tool. Results: Three new open-EHR archetypes (Eating attitudes test - EAT-40 and its short-version - EAT-26; and Bulimic Investigatory Test, Edinburgh - BITE) were developed in the initial stage of the current study. According to a review conducted by a member of our research group, these archetypes were described as the most often adopted tests by researchers. Conclusions: The quality of medical information is essential to help improving data standards and to assure interoperability. The openEHR-archetypes developed in the current study will be essential to help to improve clinical practices and, mainly, clinical research.","2372-9198","978-1-5386-6060-7","10.1109/CBMS.2018.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417209","eating disorders;openEHR;archetypes;electronic health record;nutrition","Tools;Software;Interoperability;Computational modeling;Electronic medical records;Psychology;Instruments","","3","","39","IEEE","23 Jul 2018","","","IEEE","IEEE Conferences"
"Developing a NFC based patient identification and ward round system for mobile devices using the android platform","H. Köstinger; M. Gobber; T. Grechenig; B. Tappeiner; W. Schramm","Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria",2013 IEEE Point-of-Care Healthcare Technologies (PHT),"14 Feb 2013","2013","","","176","179","We developed a mobile ward round system based on openEHR for the use on smartphones and tablet computers using the Android platform which integrates and uses NFC to explore new ways of computer interaction, data processing and workflows in the medical world. Based on the automatic patient identification via NFC using the mobile device, physicians can easily view recent ward round results and edit/add information without manually selecting the patient from a list. The application mainly shows new ideas and possibilities to improve medical workflows and usability and how mobile devices can make use of existing frameworks and backend services. Relying on the openEHR standard, physicians are not limited to a certain ward round document anymore but can define their own ward round templates by means of the openEHR templates and archetypes.","2377-5270","978-1-4673-2767-1","10.1109/PHT.2013.6461313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6461313","","Smart phones;Medical treatment;Radiofrequency identification;Mobile communication;Androids","","14","","9","IEEE","14 Feb 2013","","","IEEE","IEEE Conferences"
"Relevant Lifelong Nutrition Information for the Prevention and Treatment of Childhood Obesity - Design and Creation of New openEHR Archetype Set","P. A. Maranhão; G. M. Bacelar-Silva; D. N. Gonçalves-Ferreira; P. Vieira-Marques; R. J. Cruz-Correia","Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal",2017 IEEE 30th International Symposium on Computer-Based Medical Systems (CBMS),"13 Nov 2017","2017","","","236","241","Introduction: The worldwide prevalence of obesity had a drastic increase in childhood/ adolescents. In 2014, it was estimated that 41 million children in all world, under the age of 5 were overweight or obese. Despite all the efforts, the number of overweight and obese children/adolescents is rising in almost all countries. Meanwhile, some points impaired the healthcare professionals to follow obesity guideline clinical practice (CPG). Information systems have an important role to play in the maintaining of this reality. Aim: To propose a set of archetypes for the integration of CPG recommendations for treatment and prevention of obesity in children and adolescents in an openEHR based Electronic Health Record (EHR). Methods: We assessed obesity guidelines as National Heart, Lung and Blood Institute (NHLBI), American Academic of Paediatrics (AAP), Brazilian Association for the Study of Obesity and Metabolic Syndrome (ABESO), World Health Organization (WHO) and Dietary Reference Intake (DRI) and selected the most representative variables in nutrition parameters (anthropometry, body composition, nutrients intake, etc.) in order to create/ find archetypes in Clinical Knowledge Manager (CKM) repository, and, finally, compose a template in openEHR. Results: 38 variables were identified in guidelines. However, only 22 archetypes were necessary to represent all of them. Of these 22 archetypes, 8 are already available in CKM, while 14 clinical statements had no archetype representation and they had to be created. Conclusion: Based on the created archetypes, an openEHR template can be created for the representation of clinical statements regarding the most important clinical guidelines in obesity. This template can be used by nutritionists and others health professionals to manage data relevant to obesity care.","2372-9198","978-1-5386-1710-6","10.1109/CBMS.2017.96","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8104194","component;Electronic health records;Nutrition;Clinical practice guideline;openEHR;Obesity.","Obesity;Pediatrics;Guidelines;Blood;Organizations;Information systems","","3","","35","IEEE","13 Nov 2017","","","IEEE","IEEE Conferences"
"Integration through mapping — An OpenEHR based approach for research oriented integration of health information systems","L. F. Reis; D. G. Ferreira; P. A. Maranhao; R. Cruz-Correia; P. Vieira-Marques","Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal; Universidade do Porto, Porto, Porto, PT; Faculty of Medicine, University of Porto, Porto, Portugal; Faculty of Medicine, University of Porto, Porto, Portugal",2018 13th Iberian Conference on Information Systems and Technologies (CISTI),"28 Jun 2018","2018","","","1","5","The growing need for Healthcare Information Systems that meets standards of rigor and demand, as well as the need to provide health researchers with the best quality data, has created a major challenge with regard to interoperability in information systems. Nowadays it is common patient data to be dispersed by various systems. Modern systems are tending to adopt standards for modelling and communicating information, but this is not true for legacy systems, where the precision in terms of medical concepts are not standardized. Many times these systems are developed solutions to a specific needs of a medical service, without care for the terminology of clinical concepts representation or how it is structured in terms of semantic. Research relies heavily on the available data, and in context of Big Data analysis, the possibility of aggregating data from multiple, different and distributed sources in a meaningful and straightforward way is relevant. The main objective of this work is to propose an integration architecture that enables access to clinical data from different heterogeneous sources for research purposes. This paper presents an architecture based on the openEHR standard and a proof of concept of the mapping component that provides a tool for matching the attributes of openEHR Archetypes/Templates and fields of databases. With this approach all the data distributed in various repositories, legacy or openEHR are potentially available to the researcher, through the creation of AQL queries in order to get aggregated results for additional research activities.","","978-989-98434-8-6","10.23919/CISTI.2018.8399258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399258","openEHR;EHR;interoperability;Big Data","Interoperability;Standards;Databases;Medical services;Aging;Semantics;Information systems","","2","","15","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Automatic Conversion of Electronic Medical Record Text for OpenEHR Based on Semantic Analysis","Y. Zhu; X. Jin; L. Li","State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, China; State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, China; State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, China",2019 10th International Conference on Information Technology in Medicine and Education (ITME),"23 Jan 2020","2019","","","35","39","The OpenEHR specification standard utilizes the two-layer modeling principle which is in line with the electronic medical record specification to ensure the high scalability of the electronic medical record model and the high applicability of the medical field knowledge, and to solve the problem of poor accessibility and low availability. In order to realize the automatic conversion of any format-text electronic medical records to OpenEHR, this paper proposes a wide & deep network to match the electronic records of free texts with OpenEHR templates, and proposes a labeling model which use conditional random fields and cyclic neural networks for the extraction of clinical test items.","2474-3828","978-1-7281-3918-0","10.1109/ITME.2019.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964691","OpenEHR;Semantic Analysis;wide&deep network;conditional random fields","Hidden Markov models;Electronic medical records;Vocabulary;Data models;Mathematical model;Neural networks;Data mining","","","","20","IEEE","23 Jan 2020","","","IEEE","IEEE Conferences"
"Improving expressiveness of agents using openEHR to retrieve multi-institutional health data: Feeding local repositories through HL7 based providers","P. R. Silva-Ferreira; P. M. Vieira-Marques; J. H. Patriarca-Almeida; R. J. Cruz-Correia","Center for Research in Health Information Systems and Technologies Faculty of Medicine, University of Porta, Porto, Portugal; Center for Research in Health Information Systems and Technologies Faculty of Medicine, University of Porta, Porto, Portugal; Informatics Centre, Faculty of Medicine, University of Porta, Porto, Portugal; Department of Health Information and Decision Sciences, Faculty of Medicine, University of Porta, Porto, Portugal",7th Iberian Conference on Information Systems and Technologies (CISTI 2012),"30 Aug 2012","2012","","","1","5","In healthcare there are perceived benefits in the integration of multi-institutional patient data. The use of multiagent systems may facilitate the discovery and retrieval of patient data from the multiple health institutions that the patient has come into contact with. The main objective of this work is to define an architecture that allows agents to seek and collect health data from an HL7 based Information Systems. A key aspect in the development of the system for the retrieval of healthcare data is the integration with local systems. This paper describes a way to integrate openEHR queries with HL7 messages to query a local repository of patient information at an external institution, enabling a multi-agent system designed for the retrieval of multi-institutional data to search for and retrieve patient data essential for the process of care delivery. With health open standards and technologies a model was developed in order to enhance the discovery and retrieval of patient health data, this model have harmonized health data source input (HL7) which is modeled through metabolic templates with the same structure of an archetype template, providing openEHR compositions. Consequently building an openEHR repository with the modeled compositions allows the agents to use the Archetype Query Language for searching and retrieving the clinical data found in archetype-based EHRs.","2166-0735","978-989-96247-7-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6263222","electronic health records;data integration;HL7;openEHR;multi-agent system","Standards;Medical services;Data models;Information systems;XML;Semantics;Educational institutions","","","","17","","30 Aug 2012","","","IEEE","IEEE Conferences"
