Title,Authors,Publication Year,DOI
Comparing concepts for electronic health record architectures,Blobel B.,2002,10.3233/978-1-60750-934-9-209
Architecture of secure portable and interoperable electronic health records,Blobel B.,2002,10.1007/3-540-46080-2_103
,S. A. Barretto; J. Warren; A. Goodchild,2004,10.1109/HICSS.2004.1265353
Designing guideline-based workflow-enabled electronic health records,Barretto S.A.; Warren J.; Goodchild A.,2004,10.1109/hicss.2004.1265353
Nursing constraint models for electronic health records: A vision for domain knowledge governance,Hovenga E.; Garde S.; Heard S.,2005,10.1016/j.ijmedinf.2005.07.013
An ontological infrastructure for the semantic integration of clinical archetypes,Fernández-Breis J.T.; Menárguez-Tortosa M.; Moner D.; Valencia-García R.; Maldonado J.A.; Vivancos-Vicente P.J.; Miranda-Mena T.G.; Martínez-Béjar R.,2006,10.1007/11961239_14
Advanced and secure architectural EHR approaches,Blobel B.,2006,10.1016/j.ijmedinf.2005.07.017
Demographic management in a federated healthcare environment,Román I.; Roa L.M.; Reina-Tosina J.; Madinabeitia G.,2006,10.1016/j.ijmedinf.2006.04.006
Semantic interoperability: HL7 version 3 compared to advanced architecture standards,Blobel B.G.M.E.; Engel K.; Pharow P.,2006,10.1055/s-0038-1634087
Using semantic technologies to promote interoperability between electronic healthcare records' information models,Fernández-Breis J.T.; Vivancos-Vicente P.J.; Menárguez-Tortosa M.; Moner D.; Maldonado J.A.; Valencia-García R.; Miranda-Mena T.G.,2006,10.1109/IEMBS.2006.259686
An ehealth case study: Applying semantic web service technology in the healthcare environment,Valle E.D.; Cerizza D.; Celino I.; Dogac A.; Laleci G.B.; Kabak Y.; Okcan A.; Gulderen O.; Namli T.; Bicer V.,2007,10.1007/3-540-70894-4_14
Towards semantic interoperability for electronic health records: Domain knowledge governance for openEHR archetypes,Garde S.; Knaup P.; Hovenga E.J.S.; Heard S.,2007,10.1160/ME5001
Using OpenEHR in SICTI an electronic health record system for critical medicine,Filgueira R.; Odriazola A.; Simini F.,2007,10.1088/1742-6596/90/1/012001
Expressing clinical data sets with openEHR archetypes: A solid basis for ubiquitous computing,Garde S.; Hovenga E.; Buck J.; Knaup P.,2007,10.1016/j.ijmedinf.2007.02.004
Julius - A template based supplementary electronic health record system,Chen R.; Enberg G.; Klein G.O.,2007,10.1186/1472-6947-7-10
Integration of tools for binding archetypes to SNOMED CT,Sundvall E.; Qamar R.; Nyström M.; Forss M.; Petersson H.; Karlsson D.; Åhlfeldt H.; Rector A.,2008,10.1186/1472-6947-8-S1-S7
Combining OpenEHR archetype definitions with SWRL rules - a translation approach,Lezcano L.; Sicilia M.-A.; Serrano-Balazote P.,2008,10.1007/978-3-540-87781-3_9
A Semantic Web-based System for Managing Clinical Archetypes,"Fernandez-Breis JT, Menarguez-Tortosa M, Martinez-Costa C, Fernandez-Breis E, Herrero-Sempere J, Moner D, Sanchez J, Valencia-Garcia R, Robles M.",2008,10.1109/IEMBS.2008.4649448
PPEPR: Plug and play Electronic Patient Records,Sahay R.; Akhtar W.; Fox R.,2008,10.1145/1363686.1364232
Using detailed clinical models to bridge the gap between clinicians and HIT,Goossen W.T.F.,2008,10.3233/978-1-58603-922-6-3
