PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39191089","A survey of openEHR Clinical Data Repositories","Delussu G, Frexia F, Mascia C, Sulis A, Meloni V, Del Rio M, Lianas L.","Int J Med Inform. 2024 Nov;191:105591. doi: 10.1016/j.ijmedinf.2024.105591. Epub 2024 Aug 14.","Delussu G","Int J Med Inform","2024","2024/08/27","","","10.1016/j.ijmedinf.2024.105591"
"29454107","Archetype modeling methodology","Moner D, Maldonado JA, Robles M.","J Biomed Inform. 2018 Mar;79:71-81. doi: 10.1016/j.jbi.2018.02.003. Epub 2018 Feb 14.","Moner D","J Biomed Inform","2018","2018/02/18","","","10.1016/j.jbi.2018.02.003"
"34042716","openEHR Is FAIR-Enabling by Design","Frexia F, Mascia C, Lianas L, Delussu G, Sulis A, Meloni V, Del Rio M, Zanetti G.","Stud Health Technol Inform. 2021 May 27;281:113-117. doi: 10.3233/SHTI210131.","Frexia F","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210131"
"34042615","openEHR Based Contextual Problem List","Meredith J, McNicoll I, Whitehead N, Dacey M.","Stud Health Technol Inform. 2021 May 27;281:490-491. doi: 10.3233/SHTI210209.","Meredith J","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210209"
"29293556","ORBDA: An openEHR benchmark dataset for performance assessment of electronic health record servers","Teodoro D, Sundvall E, João Junior M, Ruch P, Miranda Freire S.","PLoS One. 2018 Jan 2;13(1):e0190028. doi: 10.1371/journal.pone.0190028. eCollection 2018.","Teodoro D","PLoS One","2018","2018/01/03","PMC5749730","","10.1371/journal.pone.0190028"
"34734890","An openEHR Virtual Patient Template for Pancreatic Cancer","Alkarkoukly S, Rajput AM.","Stud Health Technol Inform. 2021 Oct 27;285:292-295. doi: 10.3233/SHTI210618.","Alkarkoukly S","Stud Health Technol Inform","2021","2021/11/04","","","10.3233/SHTI210618"
"35395475","Performance of an openEHR based hospital information system","Kryszyn J, Cywoniuk K, Smolik WT, Wanta D, Wróblewski P, Midura M.","Int J Med Inform. 2022 Mar 31;162:104757. doi: 10.1016/j.ijmedinf.2022.104757. Online ahead of print.","Kryszyn J","Int J Med Inform","2022","2022/04/08","","","10.1016/j.ijmedinf.2022.104757"
"35672969","OpenEHR Implementation Guide: Towards Standard Low-Code Healthcare Systems","Frade S, Beale T, Cruz-Correia RJ.","Stud Health Technol Inform. 2022 Jun 6;290:52-55. doi: 10.3233/SHTI220030.","Frade S","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220030"
"34042880","openEHR Mapper - A Tool to Fuse Clinical and Genomic Data Using the openEHR Standard","Reimer N, Ulrich H, Busch H, Kock-Schoppenhauer AK, Ingenerf J.","Stud Health Technol Inform. 2021 May 24;278:86-93. doi: 10.3233/SHTI210055.","Reimer N","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210055"
"30907730","OpenEHR and General Data Protection Regulation: Evaluation of Principles and Requirements","Gonçalves-Ferreira D, Sousa M, Bacelar-Silva GM, Frade S, Antunes LF, Beale T, Cruz-Correia R.","JMIR Med Inform. 2019 Mar 25;7(1):e9845. doi: 10.2196/medinform.9845.","Gonçalves-Ferreira D","JMIR Med Inform","2019","2019/03/26","PMC6452286","","10.2196/medinform.9845"
