"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link"
"Li M.; Cai H.; Nan S.; Li J.; Lu X.; Duan H.","Li, Mengyang (57210809597); Cai, Hailing (57210795626); Nan, Shan (36131935400); Li, Jialin (57310749700); Lu, Xudong (55687460600); Duan, Huilong (7102630467)","57210809597; 57210795626; 36131935400; 57310749700; 55687460600; 7102630467","A patient-screening tool for clinical research based on electronic health records using openEHR: Development study","2021","10.2196/33192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117751198&doi=10.2196%2f33192&partnerID=40&md5=1d186bb7a5c15e21ec739d6c4db5c283"
"Kaiser P.; Yang S.; Bach M.; Breit C.; Mertz K.; Stieltjes B.; Ebbing J.; Wetterauer C.; Henkel M.","Kaiser, Philippe (59441125500); Yang, Shan (55861065500); Bach, Michael (55682012600); Breit, Christian (57222410001); Mertz, Kirsten (9943211500); Stieltjes, Bram (6506248212); Ebbing, Jan (25653800300); Wetterauer, Christian (56060748700); Henkel, Maurice (57212003317)","59441125500; 55861065500; 55682012600; 57222410001; 9943211500; 6506248212; 25653800300; 56060748700; 57212003317","The interaction of structured data using openEHR and large Language models for clinical decision support in prostate cancer","2025","10.1007/s00345-024-05423-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215352893&doi=10.1007%2fs00345-024-05423-1&partnerID=40&md5=0dc568c80740a3e2184b6fdc50e68a1f"
"Paton C.; Braa J.; Muhire A.; Marco-Ruiz L.; Kobayashi S.; Fraser H.; Falcón L.; Marcelo A.","Paton, Chris (36137747000); Braa, Jorn (35614578800); Muhire, Andrew (56809302100); Marco-Ruiz, Luis (56347504900); Kobayashi, Shinji (55678926700); Fraser, Hamish (55757094300); Falcón, Luis (57276231100); Marcelo, Alvin (23497830600)","36137747000; 35614578800; 56809302100; 56347504900; 55678926700; 55757094300; 57276231100; 23497830600","Open Source Digital Health Software for Resilient, Accessible and Equitable Healthcare Systems","2022","10.1055/s-0042-1742508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143379529&doi=10.1055%2fs-0042-1742508&partnerID=40&md5=2a4a2e39a289b1c9f07d243dbae65a48"
"Abedian S.; Taucher C.; Perscha S.; Djuris M.; Hussein R.; Hanke S.","Abedian, Somayeh (57084423200); Taucher, Christian (26636107900); Perscha, Severin (59297858800); Djuris, Michael (59297889100); Hussein, Rada (57532920800); Hanke, Sten (56246089700)","57084423200; 26636107900; 59297858800; 59297889100; 57532920800; 56246089700","An In-Depth Exploration of Mapping openEHR and PGHD: A Case Study on Fitbit-Generated Data","2024","10.3233/SHTI240442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202007667&doi=10.3233%2fSHTI240442&partnerID=40&md5=c83e5b2cdc629b311f8da73cabf9b5c2"
"Ding Y.; Hu Z.; Wang Y.; Xu X.; Nan S.; Duan H.","Ding, Yiwen (58919357500); Hu, Zhao (58919134900); Wang, Yijie (57767167500); Xu, Xiaowei (57202790080); Nan, Shan (36131935400); Duan, Huilong (7102630467)","58919357500; 58919134900; 57767167500; 57202790080; 36131935400; 7102630467","Accelerate Clinical Decision Support System Development by Converting Ontology to OpenEHR Archetypes","2023","10.1109/BigDIA60676.2023.10429558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186699282&doi=10.1109%2fBigDIA60676.2023.10429558&partnerID=40&md5=d300d8968a3745fb07d41354a770e8dd"
"Cheng K.Y.; Pazmino S.; Schreiweis B.","Cheng, Ka Yung (57874047800); Pazmino, Santiago (57951764200); Schreiweis, Björn (55562120100)","57874047800; 57951764200; 55562120100","ETL Processes for Integrating Healthcare Data - Tools and Architecture Patterns","2022","10.3233/SHTI220974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141140545&doi=10.3233%2fSHTI220974&partnerID=40&md5=4f271d34de47fa75bbd5b754a3f903ac"
"Delussu G.; Frexia F.; Mascia C.; Sulis A.; Meloni V.; Del Rio M.; Lianas L.","Delussu, Giovanni (7801426575); Frexia, Francesca (12806326400); Mascia, Cecilia (57204460142); Sulis, Alessandro (35799119200); Meloni, Vittorio (35798675400); Del Rio, Mauro (57224647019); Lianas, Luca (23489466700)","7801426575; 12806326400; 57204460142; 35799119200; 35798675400; 57224647019; 23489466700","A survey of openEHR Clinical Data Repositories","2024","10.1016/j.ijmedinf.2024.105591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202077778&doi=10.1016%2fj.ijmedinf.2024.105591&partnerID=40&md5=ee89150d38ea6296ecb57069bb5f42ad"
"Seth M.; Jalo H.; Högstedt Å.; Medin O.; Sjöqvist B.A.; Candefjord S.","Seth, Mattias (57925312500); Jalo, Hoor (57925194600); Högstedt, Åsa (57208328407); Medin, Otto (57925077200); Sjöqvist, Bengt Arne (6601996060); Candefjord, Stefan (35067815500)","57925312500; 57925194600; 57208328407; 57925077200; 6601996060; 35067815500","Technologies for Interoperable Internet of Medical Things Platforms to Manage Medical Emergencies in Home and Prehospital Care: Scoping Review","2025","10.2196/54470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215984838&doi=10.2196%2f54470&partnerID=40&md5=ee307b7e378f22e09163a3679855e8f8"
"Min L.; Fan Z.; Dou F.; Sun J.; Luo C.; Lv Q.","Min, Lingtong (56501474400); Fan, Ziman (58549503900); Dou, Feiyang (58974251200); Sun, Jiaao (58973761100); Luo, Changsheng (58974001700); Lv, Qinyi (56095990100)","56501474400; 58549503900; 58974251200; 58973761100; 58974001700; 56095990100","Adaption BERT for Medical Information Processing with ChatGPT and Contrastive Learning","2024","10.3390/electronics13132431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198464231&doi=10.3390%2felectronics13132431&partnerID=40&md5=1cb112ed47d800273d94120e530135ec"
"Gupta N.; Verma P.K.; Raj S.; Anushree; Rakesh N.; Gulhane M.","Gupta, Nidhi (57210419810); Verma, Pawan Kumar (57200504854); Raj, Sundeep (56740195000); Anushree (57673109100); Rakesh, Nitin (35321547000); Gulhane, Monali (57737922500)","57210419810; 57200504854; 56740195000; 57673109100; 35321547000; 57737922500","An Ontology Alignment based on Machine learning for Integration of Patient Health Data","2025","10.12785/ijcds/1571028689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219685675&doi=10.12785%2fijcds%2f1571028689&partnerID=40&md5=c77c1d80e6d686af7131a75e889b12c4"
